,1,2,3,4,5,6,7,8,9,10
G311,7.0,47.0,144.0,45.0,17.0,495.0,57.0,230.0,14.0,789.0
G312,5.0,4.0,8.11,4.0,1.0,6.0,2.0,1.0,4.0,4.0
G313,336.0,403.0,604.0,589.0,448.0,1244.0,554.0,610.0,475.0,963.0
G314,11.0,10.0,36.0,28.0,23.0,28.0,18.0,30.0,23.0,22.0
G315,334.0,338.0,470.0,587.0,718.0,486.0,174.0,222.0,259.0,157.0
G316,252.05,261.73,414.02,477.07,673.78,439.84,472.48,350.77,638.09,378.5
G317,852.0,754.0,1321.0,1376.0,995.0,2018.0,928.0,1565.0,960.0,2171.0
G318,325.0,192.0,520.0,2435.0,1114.0,250.0,735.0,247.0,177.0,673.0
G319,7059.36,7586.32,11919.41,7003.6,6936.35,17255.15,9411.52,20840.57,5165.66,15522.17
G320,16129.0,20118.0,11272.0,15872.0,20051.0,22764.0,14480.0,10307.0,12738.0,9961.0
G321,4.96,8.34,6.66,5.4,9.65,3.0,8.25,1.0,3.7,3.07
G322,1136.95,1539.0,988.0,1314.59,1321.0,3175.0,1164.44,1611.0,371.0,1120.03
G323,6.0,4.96,2.0,3.0,3.11,3.0,9.14,4.67,4.0,6.43
G324,1533.0,1113.0,2358.0,2636.0,2406.0,1869.0,2629.0,1578.0,2010.0,3355.0
G325,50.0,23.0,72.0,64.0,42.0,35.0,108.0,63.0,87.0,27.0
G326,16.0,11.0,81.0,66.0,24.0,260.0,23.0,589.0,16.0,234.0
G327,92.0,49.0,100.0,154.0,113.0,74.0,208.0,126.0,216.0,83.0
G328,1068.03,253.15,1036.19,614.19,467.05,3045.87,1620.9,962.85,654.56,974.01
G329,5.48,5.89,1.76,1.66,7.63,1.0,7.71,3.43,2.1,8.0
G330,26.0,47.0,101.0,82.0,59.0,33.0,51.0,95.0,46.0,63.0
G331,159.0,160.0,171.0,241.0,155.0,388.0,158.0,189.0,166.0,120.0
G332,18.0,16.0,20.0,35.0,18.0,19.0,33.0,36.0,10.0,20.0
G333,7.13,7.72,13.0,35.0,1.0,1147.0,14.0,40.0,13.0,550.0
G334,182.0,173.0,638.07,791.0,297.0,1050.16,1245.39,1085.0,689.0,199.0
G335,2.0,4.26,1.0,1.0,1.0,2.0,7.0,1.0,6.0,3.0
G336,3.77,3.0,3.65,8.0,3.0,2.26,4.0,19.0,3.0,2.38
G337,1400.55,2287.53,1156.87,2028.29,1807.96,1113.47,1092.06,991.94,624.67,2076.76
G338,90.0,65.0,542.0,365.0,220.0,1864.0,282.0,319.0,117.0,698.0
G339,76018.0,114024.0,50410.0,113256.0,90446.0,171342.0,81518.0,16187.0,8662.0,75762.98
G340,329.0,321.0,122.0,179.0,205.0,33.0,341.0,54.0,313.0,65.0
G341,27.0,14.0,51.0,27.0,22.0,240.0,110.0,116.0,72.0,88.0
G342,8.81,2.81,4.77,6.08,9.36,1.0,9.77,8.72,1.24,2.0
G343,2.0,4.23,1.0,1.0,5.98,1.83,2.19,8.6,2.15,5.06
G344,1055.0,1506.0,630.0,486.0,906.0,760.0,847.0,1248.0,781.0,9.0
G345,599.0,545.0,1095.0,1313.0,1222.0,2000.0,1824.0,715.0,1442.0,657.0
G346,11.89,6.68,111.75,12.01,12.39,16.04,102.91,95.65,46.19,2.0
G347,9.9,2.4,9.57,5.1,8.24,6.06,4.06,3.65,6.62,4.39
G348,10.0,9.0,40.0,26.0,19.0,161.0,33.0,287.0,12.0,172.0
G349,33.86,50.0,130.0,94.88,55.0,108.0,72.66,150.0,40.0,145.0
G350,878.0,1188.0,608.0,596.0,620.0,1035.0,598.0,320.0,233.0,178.0
G351,47.0,20.0,67.0,130.0,56.0,16.0,39.0,90.0,59.0,31.0
G352,513.0,328.0,513.0,589.0,533.0,405.0,487.0,631.0,403.0,462.0
G353,6.08,7.0,5.02,7.0,6.83,1.92,4.13,1.06,1.0,10.0
G354,488.0,393.0,721.0,467.0,400.0,1126.0,596.0,371.0,519.0,1048.0
G355,115.0,154.0,442.0,310.0,195.0,708.0,174.0,496.0,95.0,48.0
G356,1.0,7.57,2.0,2.0,6.93,8.29,1.0,1.0,2.0,3.0
G357,335.0,189.0,283.0,184.0,236.0,281.0,773.0,248.0,359.0,470.0
G358,3950.0,2772.0,8569.0,4405.0,3831.0,12057.0,6770.0,8918.0,3405.0,11990.0
G359,133.0,169.0,117.0,140.0,133.0,119.0,75.0,89.0,72.0,72.0
G360,52.0,52.0,79.0,184.0,77.0,24.0,77.0,48.0,61.0,43.0
G361,17.0,2.0,73.0,63.0,31.0,5.0,55.0,33.0,41.0,96.0
G362,164.0,110.0,406.0,394.0,269.0,550.0,471.0,608.0,356.0,503.0
G363,126.0,165.0,182.88,395.0,234.0,303.63,235.0,327.0,84.0,252.0
G364,10306.0,15745.0,7144.0,12160.0,4101.0,12420.0,6266.0,14983.0,1861.0,7160.0
G365,297.89,344.75,805.16,786.72,303.0,517.0,899.0,674.83,897.0,609.0
G366,328.0,265.0,268.74,386.75,343.0,262.0,338.69,415.0,451.9,247.0
G367,418.0,570.0,466.0,672.0,674.0,890.0,500.0,648.0,373.0,473.0
G368,3.0,1.86,51.0,12.0,1.0,75.0,3.0,2.0,3.0,1.0
G369,4187.0,3484.0,1972.0,1921.0,2012.0,1802.0,5252.0,670.0,2453.0,2898.0
G370,6.0,3.0,21.0,28.0,19.0,8.0,16.0,8.0,9.0,5.0
G371,8.0,6.0,86.0,50.0,16.0,162.0,102.0,412.0,5.0,26.0
G372,206.22,185.0,358.22,335.86,297.76,721.0,421.23,713.44,204.53,351.48
G373,293.0,431.0,439.0,453.0,416.0,742.0,413.0,556.0,199.0,802.0
G374,8.62,7.05,3.62,5.0,6.7,4.9,2.07,7.94,4.15,7.48
G375,17.0,1.69,18.0,6.0,6.0,10.0,23.0,24.0,7.0,4.0
G376,215.0,257.0,418.0,688.0,455.0,821.0,410.0,611.0,424.0,408.0
G377,331.0,384.0,828.0,592.0,429.0,1427.0,637.0,982.0,425.0,754.0
G378,34.4,58.99,41.22,80.9,48.01,905.41,215.84,84.85,26.68,5.51
G379,126.0,175.0,250.0,291.0,266.0,529.0,246.0,373.0,137.35,318.0
G380,616.0,536.0,1398.0,835.0,821.0,936.0,1487.0,1638.0,1243.0,447.0
G381,7.0,1.0,7.0,5.0,13.0,4.0,17.0,9.0,20.0,4.39
G382,23.0,26.0,113.0,107.0,112.0,8.0,165.0,8.0,109.0,7.47
G383,2517.23,1542.18,380.52,2719.84,1486.6,2198.81,1980.81,576.95,1504.96,2799.22
G384,3390.0,4063.0,4212.0,3975.0,5286.0,6751.0,5416.0,4479.0,2816.0,5766.0
G385,1359.0,869.0,3095.0,1139.0,1380.0,830.0,1996.0,1492.0,1170.0,1328.0
G386,275.0,188.0,673.0,840.0,247.0,1393.0,746.0,1216.0,300.0,318.0
G387,78.0,141.0,172.0,185.0,180.0,330.0,157.0,248.0,138.0,211.0
G388,141.0,107.0,340.0,327.0,203.0,460.0,330.0,961.0,141.0,648.0
G389,4.0,5.0,17.0,41.0,7.0,15.0,37.0,13.0,16.0,15.0
G390,186.5,156.0,426.87,283.25,365.8,483.58,370.41,346.66,303.88,286.15
G391,38.0,25.0,133.0,72.0,80.0,117.0,179.0,172.0,122.0,43.0
G392,776.0,1115.0,831.0,943.0,932.0,1989.0,952.0,1052.0,428.0,1160.0
G393,36.0,24.0,154.0,268.0,124.0,20.0,124.0,39.0,59.0,197.0
G394,437.0,436.0,600.0,664.0,613.0,735.0,556.0,860.0,613.0,389.0
G395,273.15,185.02,346.49,454.96,327.69,559.36,259.14,248.29,224.62,283.05
G396,221.0,198.0,222.0,281.0,222.0,317.0,280.0,228.0,202.0,260.0
G397,2.0,5.0,58.0,22.0,2.0,135.0,11.0,188.0,3.0,462.0
G398,2.93,2.37,3.19,4.19,6.81,2.0,4.51,9.56,8.73,1.0
G399,202.0,157.0,497.0,284.0,187.0,535.0,499.0,396.0,219.0,649.0
G400,2402.0,3672.0,1457.0,3271.0,3074.0,894.0,1534.0,193.0,1069.0,5843.0
G401,3.0,5.17,2.41,1.0,2.0,16.0,9.31,5.61,1.0,10.0
G402,343.0,460.0,421.0,599.0,494.0,452.0,373.0,492.0,486.0,761.0
G403,65.0,30.56,71.0,112.0,82.0,37.0,74.0,65.0,86.0,33.0
G404,360.0,398.0,609.0,534.0,395.0,1360.0,569.0,752.0,151.0,1328.0
G405,525.0,609.0,1145.0,1051.0,813.0,2217.0,878.0,1150.0,639.0,1321.0
G406,620.0,805.0,1107.0,997.0,864.0,1569.0,953.0,1327.0,614.0,2227.0
G407,272.0,194.0,383.0,424.0,440.0,639.0,400.0,433.0,359.0,396.0
G408,2941.0,5496.0,2385.0,3546.0,3785.0,3143.0,2226.0,1217.0,926.0,4858.0
G409,5303.0,3257.0,2298.0,2017.0,2433.0,1390.0,2501.0,1758.0,2421.0,1913.0
G410,36.0,24.0,135.0,154.0,74.0,108.0,281.0,152.0,126.0,41.0
G411,156.6,93.23,384.32,409.24,151.54,191.64,695.29,427.01,480.48,298.39
G412,14.0,5.49,359.0,69.0,97.0,39.0,83.0,494.0,21.0,95.0
G413,85.0,167.0,244.0,323.0,197.0,30.0,250.0,171.0,83.0,244.0
G414,2.3,3.0,71.0,49.0,11.0,47.0,38.0,845.0,7.0,399.0
G415,1373.0,2428.0,4236.0,3005.0,3815.0,2855.0,1462.0,1995.0,1348.0,9117.0
G416,271.0,167.0,225.0,368.0,270.0,204.0,207.0,211.0,204.0,108.0
G417,68.0,38.0,32.0,40.0,48.0,76.0,18.0,46.0,43.0,21.0
G418,72.0,72.0,138.0,108.0,67.0,110.0,104.0,157.0,54.0,170.0
G419,9.34,5.05,7.75,8.83,9.42,5.88,7.0,8.13,6.61,5.83
G420,545.0,620.0,971.0,782.0,782.0,1353.0,715.0,1011.0,626.0,1801.0
G421,26.0,37.17,142.0,95.32,54.0,129.98,63.0,75.0,32.0,119.0
G422,6.0,2.0,8.91,8.34,6.48,3.55,1.0,3.0,5.0,7.0
G423,9.98,3.04,9.25,6.72,6.87,9.48,1.0,1.31,2.0,9.63
G424,228.0,167.0,719.0,577.0,491.0,710.0,415.0,1186.0,332.0,775.0
G425,201.0,207.0,392.0,242.0,512.0,1566.0,284.0,1691.0,162.0,350.0
G426,8.41,8.51,1.0,6.0,8.76,3.04,2.0,5.96,8.86,9.43
G427,7.49,1.92,1.79,2.77,8.32,3.56,6.18,9.45,8.28,8.04
G428,375.61,179.0,1052.81,1078.0,565.87,772.64,628.87,578.23,569.0,1782.26
G429,102.0,53.0,408.0,343.98,251.0,169.0,552.0,561.0,394.0,167.0
G430,8.0,1.0,59.0,55.0,62.0,133.0,47.0,544.0,21.0,548.0
G431,416.0,503.0,281.0,442.0,361.0,372.0,661.0,304.0,350.0,226.0
G432,190.0,180.0,182.0,246.0,157.0,308.0,180.0,244.0,141.0,234.0
G433,61.0,61.0,185.0,215.0,114.0,72.0,256.0,162.0,104.0,160.0
G434,3.61,6.0,23.0,15.0,11.0,7.0,39.0,3.0,17.0,7.0
G435,108.0,142.0,177.0,136.0,128.0,156.0,243.0,354.0,253.0,193.0
G436,85.0,171.0,339.0,279.0,181.0,153.0,365.0,156.0,71.0,611.0
G437,7.56,7.98,3.26,4.81,1.44,3.38,1.0,3.9,3.19,3.38
G438,131.0,51.0,177.0,327.0,158.0,17.0,310.0,10.0,216.0,7.0
G439,546.0,432.0,825.0,848.0,744.0,657.0,794.0,1003.0,648.0,1017.0
G440,2825.0,4566.0,3532.0,2064.0,2598.0,20.0,3025.0,973.0,823.0,3342.0
G441,7.0,13.0,17.0,24.0,16.0,58.0,17.0,11.0,20.0,53.0
G442,27.0,14.0,70.0,107.0,69.0,62.0,91.0,100.0,67.0,39.0
G443,450.0,450.0,602.0,332.0,311.0,528.0,344.0,527.0,226.0,487.0
G444,309.91,297.0,833.0,470.0,418.0,1222.0,503.0,718.0,284.0,1135.0
G445,397.0,454.0,622.0,646.0,428.0,553.0,372.0,496.0,269.0,851.0
G446,94.0,80.0,251.0,297.0,231.0,205.0,792.0,127.0,419.0,257.0
G447,3.18,9.4,6.08,4.99,4.85,1.44,6.6,6.09,5.76,7.46
G448,832.0,855.0,2385.0,1052.0,891.0,6335.0,1158.0,1254.0,419.0,3503.0
G449,4.61,9.41,5.79,4.94,6.09,5.06,3.0,9.91,2.54,1.0
G450,1.0,9.41,2.56,5.56,6.18,1.0,8.94,8.82,1.72,7.12
G451,5.0,6.3,55.0,24.0,47.0,15.0,39.0,5.0,10.0,11.0
G452,2143.0,875.0,15306.0,8085.0,3905.0,1873.0,15876.0,19722.0,12571.0,1601.0
G453,32.0,20.0,52.0,79.0,33.0,2.0,60.0,47.0,60.0,18.0
G454,142.13,205.71,586.94,277.07,217.25,192.29,226.51,140.48,135.86,228.19
G455,75.0,46.0,193.0,353.0,142.0,69.0,273.0,143.0,174.0,93.0
G456,82.0,22.0,70.0,30.0,59.0,187.0,159.0,213.0,233.0,234.0
G457,135.0,91.0,498.0,585.0,221.0,90.0,297.0,653.0,146.0,331.0
G458,647.0,562.0,813.0,670.0,536.0,2570.0,765.0,665.0,395.0,545.0
G459,81.0,66.0,193.0,137.0,98.0,338.0,407.0,336.0,202.0,610.0
G460,590.6,488.0,1028.57,569.99,586.0,3727.0,1415.0,741.63,1174.99,1178.0
G461,5.69,3.11,12.0,5.0,5.0,1.34,12.0,4.0,123.0,6.74
G462,196.15,162.34,223.54,255.56,249.76,293.78,216.64,155.68,230.98,312.69
G463,99.0,104.0,435.0,308.0,186.0,752.0,317.0,285.0,173.0,272.0
G464,35.0,76.0,140.0,99.0,112.0,224.0,79.0,30.0,81.0,57.0
G465,268.8,270.49,292.23,365.01,304.01,297.87,316.21,188.03,267.89,239.41
G466,13.0,3.0,45.0,26.0,63.0,2.0,67.0,96.0,47.0,7.0
G467,2.0,7.97,55.0,11.0,4.0,1.0,35.0,8.12,7.0,1.0
G468,329.0,421.17,536.0,520.0,502.0,650.59,548.0,652.0,472.0,640.0
G469,230.0,247.0,385.0,445.0,482.0,169.0,419.0,297.0,368.0,336.0
G470,58.0,90.0,240.0,185.0,166.0,160.0,159.0,192.0,176.0,85.0
G471,910.86,909.06,1136.68,1246.0,1174.5,399.55,993.76,988.29,1065.25,805.99
G472,92.0,47.0,222.0,265.0,152.0,202.0,346.0,152.0,310.0,156.0
G473,33.0,33.0,144.0,70.0,64.0,23.0,172.0,58.0,82.0,6.0
G474,486.04,453.64,877.43,700.39,587.23,664.01,805.94,821.01,808.82,880.74
G475,11.0,11.0,3.0,17.0,8.0,1.0,28.0,6.0,8.0,2.0
G476,586.59,700.43,809.03,822.99,712.39,665.99,449.18,227.33,380.3,613.66
G477,478.79,575.39,1263.93,1050.4,776.36,2078.98,942.82,2377.68,599.86,1730.22
G478,11.35,7.14,9.65,26.01,11.82,3.09,35.69,17.35,62.75,19.02
G479,1.31,1.09,1.0,5.0,3.0,5.66,4.0,12.0,5.01,5.76
G480,377.0,451.0,535.0,745.0,505.0,839.0,518.0,554.0,613.0,838.0
G481,17.0,4.0,41.0,32.0,15.0,143.75,41.0,99.0,71.0,16.7
G482,74.0,42.0,438.0,126.0,108.0,117.0,185.0,138.0,96.0,247.0
G483,148.0,176.0,515.0,291.0,171.0,169.0,282.0,254.0,136.0,466.0
G484,1.63,2.0,6.0,8.0,14.0,3.36,4.0,3.0,5.0,4.0
G485,27.0,56.0,139.0,68.0,104.0,2.0,63.0,12.0,47.0,1.0
G486,352.0,243.0,417.0,631.0,412.0,460.0,582.0,302.0,488.0,569.0
G487,66.0,22.0,190.0,72.0,113.0,69.0,337.0,131.0,242.0,25.0
G488,6.05,1.0,1.0,2.0,3.62,18.0,1.0,5.85,4.59,7.0
G489,31.0,21.0,82.0,55.0,37.0,205.0,40.0,54.0,56.0,61.0
G490,547.0,625.0,3448.0,703.0,1240.0,19523.0,1291.0,757.0,800.0,1525.0
G491,25.0,12.0,71.32,45.0,24.0,16.72,43.0,21.0,22.0,17.0
G492,63.0,57.0,177.0,84.0,43.0,8.0,60.0,107.0,77.0,365.0
G493,6.61,2.17,6.23,7.48,4.09,3.81,6.5,7.48,9.55,3.92
G494,22.0,21.0,90.0,68.0,52.0,139.73,115.0,47.0,62.0,167.0
G495,73.0,73.0,632.0,221.0,144.0,324.0,193.0,787.0,84.0,671.0
G496,291.17,289.14,456.0,590.0,398.39,1861.52,622.0,319.0,450.0,460.0
G497,17.0,1.0,79.0,74.0,59.0,10.0,105.0,50.0,32.0,11.0
G498,1897.0,2574.0,2691.0,2489.0,2001.0,6031.0,2951.0,3224.0,1698.0,5300.0
G499,288.0,276.0,303.0,437.0,202.0,656.0,329.0,280.0,470.0,517.0
G500,2.0,5.38,1.0,1.32,2.0,3.0,5.34,4.0,6.12,3.81
G501,283.0,50.0,233.0,154.0,212.0,274.0,317.0,410.0,220.0,341.0
G502,2839.0,3776.0,3138.0,4354.0,3163.0,4125.0,3230.0,2781.0,1643.0,3330.0
G503,4.26,1.51,8.74,7.37,9.7,1.0,4.0,1.0,5.0,3.94
G504,104.0,75.0,203.0,194.83,142.0,436.0,164.0,263.9,95.0,365.0
G505,8.0,5.0,9.0,4.0,6.0,30.0,12.0,21.0,26.0,10.0
G506,27.0,12.0,64.0,83.0,35.0,28.0,67.0,74.0,60.0,18.0
G507,6.81,9.66,3.0,4.08,2.0,2.51,7.44,3.0,1.0,4.67
G508,7.0,11.0,20.0,22.0,11.0,2.6,28.0,6.0,15.0,11.0
G509,239.0,144.0,244.0,435.0,268.0,289.0,341.0,323.0,413.0,146.0
G510,57.89,28.0,112.0,296.85,74.98,22.0,126.16,72.0,131.89,53.0
G511,3.0,2.0,53.0,33.0,15.0,62.0,21.0,144.0,10.0,236.0
G512,7.0,4.0,28.0,17.0,17.0,166.0,24.0,35.0,5.0,55.0
G513,246.0,288.0,408.0,369.0,372.0,680.0,377.0,378.0,239.0,784.0
G514,280.0,234.0,494.0,468.0,296.0,530.0,491.0,755.0,326.0,855.0
G515,863.0,1061.0,1066.0,1229.0,1185.0,2005.0,1037.0,1296.0,813.0,855.0
G516,137.0,151.0,199.0,205.0,157.0,355.0,235.0,281.0,161.0,285.0
G517,8.0,4.0,64.0,63.0,22.0,13.0,47.0,13.0,16.0,38.0
G518,55.19,26.0,283.25,123.0,101.95,63.0,218.0,305.67,127.0,59.06
G519,31.0,13.0,75.0,89.0,22.0,159.0,64.0,82.0,60.0,88.0
G520,86.0,55.0,486.0,425.0,239.0,331.0,474.0,991.0,241.0,249.0
G521,11.0,13.0,104.0,163.0,169.0,3.0,222.0,4.0,74.0,36.0
G522,27.0,9.0,54.0,106.0,19.0,16.0,55.0,76.0,28.0,9.0
G523,2.94,4.24,1.05,3.96,6.56,9.02,6.1,8.77,9.53,1.53
G524,5.0,5.0,5.51,19.0,19.0,9.0,2.0,1.0,13.0,3.0
G525,763.0,691.0,872.0,1154.0,888.0,1205.0,902.0,838.0,946.0,1386.0
G526,6433.0,6064.0,4775.0,10147.0,11084.0,10649.0,5176.0,1012.0,1796.0,12888.0
G527,1.0,4.1,4.0,9.0,4.0,8.35,1.0,2.45,3.0,6.0
G528,38.0,46.0,56.0,95.0,62.0,89.0,86.0,63.0,59.0,90.0
G529,260.0,98.0,361.0,198.0,118.0,200.0,228.0,104.0,156.0,169.0
G530,189.2,182.68,301.39,306.42,361.42,837.82,152.82,341.01,132.37,396.17
G531,82.0,92.0,187.0,38.0,38.0,34.0,87.0,102.0,118.0,5.0
G532,9.18,8.93,1.59,7.17,1.36,3.0,7.0,7.24,2.88,1.69
G533,253.0,236.0,464.0,365.0,237.0,751.0,362.0,455.0,161.0,494.0
G534,35.46,52.4,75.0,120.84,88.83,140.2,84.0,146.39,41.7,163.51
G535,5.62,5.76,1.89,1.0,7.0,1.45,2.0,4.08,3.0,1.0
G536,141.0,177.0,467.0,528.0,361.0,1620.15,300.99,3313.99,218.0,463.0
G537,6.0,11.0,37.0,19.0,16.0,65.0,11.0,36.0,1.0,41.0
G538,149.1,145.0,416.0,657.0,305.0,454.0,738.0,425.0,632.09,103.0
G539,212.0,165.0,160.0,219.0,149.0,146.0,205.0,565.0,313.0,156.0
G540,158.0,99.0,189.0,299.0,226.0,232.0,190.0,316.0,200.0,175.0
G541,17.0,2.0,19.0,14.0,15.0,32.0,14.0,25.0,10.0,27.0
G542,1736.0,1605.0,1511.0,5908.0,4610.0,90.0,2249.0,205.0,4520.0,1922.0
G543,504.0,626.0,1035.0,984.0,639.0,1451.0,1068.0,1299.0,610.0,1077.0
G544,130.0,209.0,258.0,332.0,269.0,403.0,221.0,397.0,210.0,336.0
G545,590.0,747.0,636.0,575.0,694.0,843.0,827.0,704.0,681.0,1202.0
G546,125.0,133.0,332.0,216.0,257.0,414.0,222.0,172.0,91.0,1021.0
G547,2030.2,1346.21,3492.09,1075.83,1065.83,1801.29,2274.24,561.83,2081.0,6154.2
G548,1022.09,925.0,2636.0,2048.46,1816.0,1573.0,1568.64,2703.92,967.0,5029.0
G549,353.21,458.8,659.92,459.64,315.05,785.9,345.8,387.87,245.28,914.53
G550,24.0,18.0,20.0,43.0,23.0,55.0,17.0,42.0,22.0,45.0
G551,1.68,4.91,1.0,7.69,4.43,10.0,1.0,9.69,6.03,7.0
G552,69.0,24.0,66.0,122.0,59.0,14.0,210.0,23.0,68.0,5.0
G553,245.0,93.0,544.0,155.0,192.0,322.0,349.0,365.0,225.0,480.0
G554,703.0,764.0,1369.0,509.0,499.0,1255.0,316.0,542.0,327.0,1677.0
G555,8.01,9.0,8.0,27.0,3.0,4.0,2.0,8.0,1.0,7.65
G556,1.0,3.46,4.0,2.0,8.73,11.0,9.0,1.0,1.78,2.0
G557,1.0,5.0,18.0,2.0,3.14,19.0,5.0,4.0,7.78,21.0
G558,8.71,6.67,1.19,8.65,8.78,139.0,8.55,2.0,7.62,7.14
G559,42.73,14.09,87.51,75.71,76.19,38.68,128.87,106.56,132.12,105.87
G560,111.0,92.0,317.0,310.0,192.0,226.0,252.0,382.0,187.0,468.0
G561,2122.0,945.0,8007.0,3244.0,2046.0,8810.0,3617.0,7093.0,3358.0,14808.0
G562,6.0,4.45,5.95,1.0,5.68,4.38,7.46,4.74,6.49,8.17
G563,7100.0,4509.0,1527.0,627.0,1253.0,1051.0,2788.0,1697.0,3316.0,949.0
G564,95.0,71.0,115.0,105.0,139.0,153.0,158.0,175.0,121.0,155.0
G565,11.0,22.0,85.0,93.0,54.0,101.0,76.0,345.0,52.0,310.0
G566,11.0,1.0,9.0,6.0,3.0,7.0,15.0,4.0,4.0,7.0
G567,10.0,10.0,20.0,15.0,2.0,5.83,30.0,103.0,59.0,4.19
G568,295.74,302.98,656.23,252.0,256.0,368.0,244.66,270.54,317.0,445.14
G569,8.0,6.0,37.0,22.0,23.0,14.0,51.0,24.0,28.0,5.0
G570,791.0,801.0,375.0,656.0,647.0,237.0,512.0,287.0,395.0,315.0
G571,1.0,29.0,7.97,22.0,26.0,5.41,2.0,9.93,4.0,7.11
G572,17.0,33.0,30.0,64.0,40.0,9.0,50.0,11.0,42.0,34.0
G573,130.0,97.0,241.0,217.0,183.0,315.0,194.0,247.0,157.0,229.0
G574,6.0,3.0,17.0,44.0,19.0,15.0,6.0,1.0,17.0,9.0
G575,581.86,733.7,1949.0,2680.16,1176.0,465.0,4113.69,1544.0,2510.35,489.54
G576,113.0,93.0,196.0,192.0,147.0,238.0,136.0,172.0,118.0,287.0
G577,7.0,4.0,15.0,39.0,19.0,424.63,50.0,100.0,55.92,1.0
G578,9.33,5.9,4.0,2.09,3.0,6.17,1.0,1.0,3.53,160.0
G579,178.0,153.0,246.0,344.34,297.0,519.0,414.0,429.0,188.0,407.0
G580,3.0,6.46,3.99,9.55,1.0,1.97,1.0,8.88,4.84,1.22
G581,204.0,139.0,259.0,398.0,380.0,226.0,271.0,171.0,122.0,388.0
G582,277.0,281.0,362.0,430.0,390.0,629.0,414.0,473.0,236.0,506.0
G583,685.0,178.0,2945.0,2212.0,1314.0,33.0,5250.0,282.0,2307.0,161.0
G584,43.0,24.0,114.0,106.0,111.0,9.0,101.0,32.0,95.0,47.0
G585,1282.0,1484.0,2588.0,5304.0,2153.0,180.0,4444.0,279.0,2109.0,262.0
G586,252.0,320.0,277.0,339.0,274.0,435.0,256.0,317.0,246.0,223.0
G587,1490.3,220.29,1551.96,822.99,424.88,1835.39,1727.72,3316.6,1683.03,981.51
G588,27.0,4.0,161.0,42.0,14.0,148.0,6.0,27.0,10.0,216.0
G589,7.75,5.31,6.01,6.7,6.34,4.33,5.97,3.58,9.91,1.28
G590,2.06,4.27,3.8,3.07,3.09,6.82,4.7,5.68,8.14,8.0
G591,3.0,3.68,1.0,2.0,4.94,12.0,9.0,322.0,6.0,12.0
G592,14.0,15.0,19.0,42.0,4.0,22.0,36.0,39.0,32.0,29.74
G593,165.0,172.0,266.0,251.0,250.0,332.0,215.0,292.0,176.0,318.0
G594,36.0,31.0,128.0,65.0,61.0,257.31,114.0,427.0,71.0,542.62
G595,13.0,6.0,799.0,999.0,83.0,18.0,294.0,575.0,271.0,5.0
G596,78.0,103.0,67.0,118.0,129.0,179.0,75.0,159.0,66.0,59.0
G597,5.24,7.45,4.81,2.99,3.63,4.05,5.51,6.63,1.99,1.0
G598,832.47,776.76,1550.47,1572.47,1168.74,2829.99,1627.65,2656.37,1329.91,1972.05
G599,609.0,2249.0,142.0,895.0,1387.0,602.0,843.0,476.0,205.0,78.0
G600,46.19,35.61,37.25,36.19,75.14,26.37,29.67,10.1,30.74,10.94
G601,61.0,53.0,118.0,102.0,63.0,269.0,160.0,392.0,103.0,158.0
G602,739.0,819.0,3100.0,8435.0,4397.0,6018.0,4043.0,1380.0,1083.0,2878.0
G603,857.0,171.0,1091.0,427.0,791.0,276.0,2885.0,254.0,1457.0,234.0
G604,7.15,8.3,2.41,2.92,2.12,9.8,9.4,7.63,9.37,3.32
G605,30.21,28.34,43.79,52.6,53.44,100.45,37.33,53.26,41.62,37.26
G606,425.0,607.0,778.51,687.15,477.8,1848.39,632.0,889.25,417.66,680.01
G607,9.35,3.67,4.0,8.0,3.0,2.0,5.44,5.0,1.0,1.6
G608,798.0,255.0,4791.0,6581.0,1207.0,6034.0,4995.0,19722.0,2254.0,1571.0
G609,4.0,14.0,7.0,17.0,6.46,16.0,7.0,6.0,6.0,1.4
G610,346.0,276.0,585.0,455.0,302.0,999.0,325.0,596.0,256.0,496.0
G611,2146.0,2107.0,2697.0,3380.0,3642.0,1410.0,2256.0,3959.0,3515.0,4265.0
G612,46.0,68.0,168.0,200.0,118.0,193.0,179.0,222.0,220.0,47.0
G613,1469.0,1839.0,1322.0,1033.0,1702.0,1994.0,759.0,225.0,681.0,589.0
G614,5.0,11.0,36.0,44.0,27.0,7.0,50.0,15.0,22.0,2.0
G615,4.22,4.37,2.0,3.47,3.31,1.19,6.08,3.81,9.04,5.74
G616,1.0,6.66,1.74,4.77,3.96,2.06,7.65,1.13,9.71,2.01
G617,264.65,431.0,20.54,96.0,102.72,199.0,10.0,4.0,47.0,79.75
G618,1.12,2.27,1.0,1.72,9.25,3.48,3.58,1.0,3.67,9.7
G619,238.0,211.0,418.0,383.0,324.0,300.0,499.0,305.0,314.0,488.0
G620,61.0,24.0,65.0,7.0,92.0,14.0,255.0,26.0,176.0,62.0
G621,1910.0,1797.0,2367.0,2302.0,2098.0,1868.0,2481.0,1742.0,1940.0,3011.0
G622,71.57,18.06,89.32,118.26,78.02,10.0,195.18,61.72,156.4,22.0
G623,196.0,193.0,212.0,234.0,207.0,87.0,276.0,270.0,204.0,194.0
G624,1.37,4.4,5.66,4.88,6.82,2.29,2.55,3.67,6.07,8.93
G625,5.56,7.03,1.0,4.17,8.0,9.45,2.42,7.4,1.0,5.85
