,1,2,3,4,5,6,7,8,9,10
G70,58.0,88.0,91.0,82.0,76.0,127.0,88.0,167.0,40.0,85.0
G71,3.0,1.0,12.0,31.0,8.0,6.6,6.0,1.68,55.0,13.0
G72,1023.0,914.0,2665.0,1151.0,848.0,1115.0,871.0,1344.0,1047.0,1006.0
G73,814.0,909.0,1054.0,1300.0,818.0,1662.0,1231.0,928.0,531.0,1585.0
G74,1051.0,395.0,2123.0,1064.0,928.0,1775.0,1796.0,732.0,989.0,1652.0
G75,3435.0,3291.0,2677.0,3062.0,4133.0,3902.0,1400.0,2467.0,1791.0,4372.0
G76,29.0,22.0,91.0,53.0,63.0,127.0,86.0,117.0,64.0,112.0
G77,5002.0,7312.0,3676.0,4122.0,4508.0,8025.0,2408.0,966.0,359.0,1225.0
G78,645.0,741.0,598.0,1040.0,930.0,703.0,509.0,940.0,374.0,513.0
G79,1778.0,585.0,6795.63,4507.0,2896.0,2806.48,10766.0,5818.0,6452.0,3070.0
G80,164.0,144.9,211.74,374.98,176.0,223.14,282.1,104.21,55.65,189.0
G81,285.0,89.0,1386.0,991.0,500.0,569.0,969.0,464.0,515.0,480.0
G82,436.0,356.0,1177.0,634.0,518.0,1096.0,802.0,437.0,641.0,2100.0
G83,395.0,438.0,543.0,630.0,500.0,130.0,902.0,442.0,635.0,473.0
G84,122.0,43.0,249.0,463.0,292.0,74.0,400.0,163.0,340.0,54.0
G85,109.03,121.33,167.28,203.86,101.14,288.59,118.34,169.63,74.27,135.52
G86,40.0,14.0,139.0,75.0,54.0,73.0,89.0,280.0,119.0,26.0
G87,5.4,6.15,8.0,7.13,5.16,2.36,9.85,4.0,7.8,13.0
G88,33.0,25.0,169.0,148.01,76.87,438.0,138.0,253.98,88.0,193.0
G89,237.28,270.46,493.57,489.05,338.41,556.41,379.97,474.41,357.85,711.31
G90,327.0,464.0,750.0,568.0,483.0,1031.0,710.0,448.0,280.0,633.0
G91,57.0,25.0,213.0,191.0,82.0,201.0,54.0,150.0,135.0,370.0
G92,523.0,348.99,1587.0,1244.57,766.0,1974.0,2328.78,934.23,879.59,488.26
G93,720.0,1130.0,1360.0,1572.0,942.0,4012.0,698.0,289.0,132.0,1922.0
G94,4.0,2.0,29.0,32.0,16.0,2.0,43.0,12.0,75.0,3.79
G95,78.0,147.0,229.0,302.0,102.0,105.0,381.0,241.0,331.0,73.0
G96,289.0,387.0,785.0,633.0,411.0,698.0,322.0,387.0,221.0,1338.0
G97,139.01,44.0,572.58,123.46,167.82,175.81,878.0,1318.43,202.92,121.0
G98,124.0,32.0,112.0,282.0,86.0,67.0,135.0,179.0,159.0,281.0
G99,906.0,1621.0,1318.0,2616.0,1714.0,1612.0,1993.0,1051.0,951.0,819.0
G100,84.0,73.0,193.0,110.0,56.0,534.0,183.0,208.0,27.0,234.0
G101,120.0,146.0,286.0,296.0,210.0,635.0,167.0,717.0,71.0,422.0
G102,1.0,3.76,5.0,15.0,1.0,20.0,2.0,7.0,1.0,1.0
G103,1.98,5.03,21.0,9.3,5.83,179.0,6.03,195.0,6.0,72.0
G104,11.0,4.0,26.0,13.0,4.0,5.0,23.0,5.0,14.0,111.0
G105,1948.0,1579.0,4773.0,3273.0,2966.0,7078.0,5017.0,5302.0,725.0,13404.0
G106,511.0,443.0,1725.0,1186.0,635.0,1325.0,1108.0,1519.0,885.0,796.0
G107,4.0,1.0,5.03,13.0,2.0,3.0,9.86,1.0,2.08,2.0
G108,16.0,14.0,42.0,35.0,47.0,4.0,53.0,12.0,36.0,15.0
G109,134.0,110.0,454.0,216.0,128.0,494.0,169.0,133.0,91.0,183.0
G110,3.0,6.64,9.0,9.0,16.0,1.0,16.0,8.27,9.0,1.0
G111,14.0,1.0,7.0,46.0,15.0,30.0,22.0,96.0,49.0,27.0
G112,776.47,628.0,931.26,1186.0,1029.0,764.0,1273.0,1119.57,1239.0,681.0
G113,711.83,632.0,341.89,604.94,821.98,300.0,276.56,372.62,230.14,229.96
G114,236.0,178.0,438.0,266.0,300.0,103.0,588.0,252.0,422.0,91.0
G115,344.0,200.58,812.75,668.64,492.99,1863.0,454.0,440.0,359.0,1262.14
G116,61.0,19.0,36.0,202.0,104.0,325.0,96.0,25.0,34.0,27.0
G117,80.0,28.0,323.31,370.81,151.0,216.0,594.44,145.9,197.88,63.0
G118,123.0,137.0,361.0,283.0,191.0,501.0,215.0,290.0,141.0,730.0
G119,256.0,213.0,457.0,368.0,348.0,1607.0,662.0,363.0,447.0,336.0
G120,7.0,2.0,27.0,21.0,15.0,19.0,9.0,99.0,6.59,64.0
G121,153.0,111.0,369.0,214.0,115.0,343.0,166.0,322.0,118.0,339.0
G122,22.0,16.0,152.0,186.0,41.0,713.0,92.0,33.0,103.0,194.0
G123,133.0,153.0,279.0,246.0,219.0,302.0,272.0,295.0,225.0,204.0
G124,25.0,1.0,64.0,19.0,30.0,19.0,91.0,101.0,89.0,21.0
G125,381.0,247.0,460.0,597.0,361.0,899.0,436.0,202.0,392.0,121.0
G126,380.55,339.0,760.0,1200.0,921.0,734.0,698.0,661.0,503.0,586.0
G127,131.0,85.0,251.0,338.0,215.0,128.0,391.0,142.0,310.0,202.0
G128,101.0,105.0,159.0,162.0,108.0,219.0,158.0,179.0,160.0,163.0
G129,170.0,290.0,323.0,282.0,260.0,276.0,231.0,411.0,269.0,193.0
G130,69.0,46.0,217.0,161.0,174.0,32.0,363.0,111.0,185.0,212.0
G131,158.0,183.0,205.0,196.0,169.0,344.0,207.0,208.0,92.0,206.0
G132,109.0,62.0,237.0,163.0,159.0,491.0,148.0,262.0,142.0,222.0
G133,15.0,15.0,54.0,43.0,22.0,29.0,21.0,82.0,38.0,60.0
G134,56.0,16.0,88.0,139.0,44.0,75.0,79.0,67.0,44.0,153.0
G135,197.0,84.0,139.0,192.0,94.0,297.0,197.0,172.0,109.0,206.0
G136,425.66,280.94,383.0,208.12,265.63,292.28,1653.94,503.0,723.0,1486.99
