,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
G46,4.14,7.47,5.37,1.74,5.76,6.15,9.5,8.41,5.81,7.69,8.18,9.91,1.73,3.09,2.14,9.38,2.72,5.47,6.8,3.67,9.16,4.43,5.61,3.59,4.48,5.34,1.6,5.13,6.38,3.32,3.39,6.01,1.5,2.95,4.75,3.26,3.98,9.65,1.91,9.09,8.56,6.01
G47,93.0,187.0,68.0,4.0,96.0,380.0,57.0,232.0,68.0,518.0,253.0,764.0,1043.0,968.0,799.0,918.0,1101.0,493.0,422.0,444.0,198.0,23.0,1.98,81.0,191.0,7.0,10.0,38.0,9.0,71.0,37.0,40.0,1.62,5.0,2.0,2.0,3.0,1.0,2728.0,774.0,816.0,410.0
G48,333.0,649.0,287.0,23.0,234.0,910.0,165.0,532.0,97.0,490.0,563.0,571.0,587.0,338.0,535.0,484.0,663.0,616.0,533.0,586.0,702.0,130.0,3.14,222.0,616.0,7.0,21.0,111.0,29.0,125.0,74.0,76.0,6.18,19.0,13.0,38.0,41.0,12.0,2891.0,658.0,728.0,647.0
G49,12.0,58.0,33.0,1.0,11.0,84.0,8.0,44.0,7.0,81.0,34.0,57.0,66.0,50.0,61.0,77.0,71.0,113.0,83.0,108.0,70.0,6.0,2.95,21.0,38.0,1.0,1.35,2.0,5.0,12.0,7.0,6.0,5.7,4.0,3.0,25.0,27.0,16.0,289.0,59.0,101.0,50.0
G50,27.0,82.0,35.0,2.0,4.0,58.0,11.0,45.0,4.0,21.0,30.0,51.0,36.0,42.0,60.0,25.0,87.0,130.0,111.0,88.0,42.0,7.0,7.7,16.0,15.0,4.0,4.0,9.0,4.0,2.0,1.0,7.0,6.04,1.0,5.8,11.0,40.0,12.0,282.0,73.0,64.0,18.0
G51,38.0,61.0,25.0,5.0,27.0,94.0,10.0,48.0,3.0,37.0,61.0,78.0,76.0,64.0,59.0,65.0,82.0,85.0,65.0,77.0,64.0,20.0,7.53,18.0,52.0,1.0,3.0,7.0,6.59,7.0,5.0,6.0,3.7,1.0,1.0,8.34,8.14,1.16,421.0,76.0,112.0,24.0
G52,1587.0,2701.48,1359.0,130.0,911.93,4216.88,608.24,2005.77,479.44,3871.21,1746.78,3196.86,2776.64,1335.6,1562.55,2254.28,2301.93,2235.66,1711.85,2789.58,3607.67,691.0,3.35,1372.87,3537.73,122.0,49.0,261.61,84.96,565.97,226.97,394.03,8.37,77.95,23.0,38.0,33.0,14.0,19551.34,3164.79,4522.14,3364.15
G53,233.0,556.0,215.0,13.0,218.0,887.0,132.0,676.0,99.0,525.0,577.0,526.0,714.0,401.0,474.0,330.0,596.0,804.0,786.0,655.0,566.0,79.0,6.08,182.0,430.0,11.0,48.0,124.0,64.0,90.0,53.0,82.0,7.34,11.0,6.0,21.0,29.0,14.0,2215.0,630.0,621.0,729.0
G54,278.0,636.0,260.0,31.0,215.0,1215.0,235.0,712.0,83.0,494.0,752.0,750.0,940.0,894.0,671.0,630.0,826.0,895.0,768.0,811.0,795.0,100.0,7.41,307.0,570.0,11.0,107.0,312.0,179.0,246.0,132.0,237.0,2.14,77.0,58.0,80.0,120.0,38.0,2524.0,622.0,672.0,602.0
G55,171.0,376.0,152.0,17.0,155.0,584.0,122.0,353.0,141.0,837.0,345.0,358.0,374.0,224.0,355.0,214.0,446.0,334.0,290.0,300.0,379.0,37.0,4.99,119.0,280.0,6.0,14.0,56.0,23.0,52.0,27.0,32.0,2.3,19.0,4.0,6.0,20.0,7.0,953.0,247.0,267.0,1083.0
