,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
G327,95.0,195.0,94.0,8.0,54.0,342.0,21.0,132.0,33.0,205.0,159.0,198.0,201.0,115.0,116.0,231.0,195.0,136.0,121.0,192.0,302.0,54.0,4.26,126.0,337.0,15.0,4.29,8.0,3.58,75.0,21.0,56.0,6.1,7.0,4.0,9.0,17.0,14.0,1111.0,146.0,201.0,138.0
G328,2.0,19.0,6.0,4.4,2.0,8.0,6.93,4.0,178.0,1274.0,2.0,5.0,3.0,3.0,5.06,3.0,2.0,13.0,11.0,10.0,18.0,1.0,3.79,1.0,15.0,2.58,4.42,1.0,1.49,165.0,89.0,195.0,4.36,191.0,72.0,68.0,50.0,32.0,266.0,41.0,48.0,1229.0
G329,5.17,8.19,6.49,6.55,3.86,5.77,6.82,5.78,6.69,3.54,1.24,7.63,4.92,5.52,1.94,1.48,2.49,4.45,7.91,1.96,1.37,4.12,7.99,6.47,9.36,4.78,6.27,9.28,4.36,7.86,9.03,9.92,2.77,2.39,7.98,6.73,6.14,4.07,4.45,5.52,4.1,1.61
G330,40.0,67.0,36.0,3.0,29.0,155.0,17.0,86.0,17.0,97.0,99.0,131.0,155.0,75.0,83.0,138.0,78.0,126.0,85.0,131.0,71.0,15.0,4.72,31.0,103.0,5.0,21.0,21.0,1.0,30.0,19.0,20.0,2.87,5.0,7.0,46.0,59.0,17.0,461.0,104.0,148.0,95.0
G331,42.0,133.0,62.0,3.0,50.0,211.0,38.0,126.0,17.0,99.0,153.59,172.0,192.0,182.0,106.0,104.0,155.0,184.0,150.0,133.0,121.0,24.0,2.15,55.0,64.0,2.0,54.0,84.0,30.0,71.0,37.0,56.0,1.78,35.0,8.0,41.0,57.0,25.0,836.0,217.0,227.0,158.0
G332,5.09,6.87,4.39,3.27,2.18,1.18,3.5,7.13,2.74,1.92,6.97,7.87,7.53,7.12,2.71,2.41,7.56,1.0,8.29,3.74,6.82,1.43,7.71,8.65,3.86,5.4,1.79,2.76,2.1,1.88,8.64,7.4,4.7,8.48,7.11,2.0,5.0,9.46,4.0,5.28,1.74,4.9
G333,440.0,1010.0,398.0,32.0,332.0,1941.0,252.0,1158.0,337.0,2087.0,1305.0,1106.0,1694.0,949.0,963.0,1052.0,1417.0,1388.0,1072.0,1225.0,1280.0,164.0,6.71,387.0,918.0,19.0,155.0,348.0,162.0,227.0,95.0,158.0,7.57,13.0,8.0,11.0,8.0,4.0,6381.0,1588.0,1610.0,2550.0
G334,1115.0,2375.0,1051.0,82.0,701.0,3912.0,473.0,1925.0,393.0,2525.0,2074.0,2744.0,3175.0,2707.0,2085.0,2797.0,2997.0,3219.0,2588.0,3426.0,3165.0,425.0,2.33,1207.0,2754.0,70.0,143.0,308.0,110.0,453.0,229.0,396.0,1.0,32.0,7.0,4.0,10.0,2.0,15752.0,3481.0,3753.0,2752.0
G335,4.38,1.33,6.69,6.61,6.77,2.0,2.64,1.56,6.81,2.0,2.0,5.51,3.0,3.94,1.0,2.39,5.3,1.0,8.23,2.0,9.05,9.35,3.33,3.58,3.07,8.05,3.45,3.4,4.89,1.52,9.61,7.4,8.7,9.7,9.75,5.0,9.0,3.0,3.32,1.0,6.08,1.0
G336,7.79,6.6,7.37,7.3,2.14,6.55,9.06,4.6,3.39,9.36,2.7,9.94,2.77,1.54,6.35,3.71,2.98,9.77,9.26,9.4,2.83,8.4,7.92,5.95,8.07,8.21,7.09,8.54,5.61,8.59,5.95,7.22,5.01,1.83,9.96,1.76,4.29,6.88,1.88,8.26,1.32,2.89
G337,2.22,2.68,2.95,3.66,7.1,1.0,3.0,3.03,3.35,1.69,2.0,2.21,6.0,5.79,7.64,7.14,1.0,3.33,1.0,1.28,5.78,5.25,9.82,7.71,2.31,7.41,7.48,7.68,3.76,1.0,1.66,6.84,2.69,9.93,5.61,8.14,1.15,2.26,22.71,2.0,1.0,1.44
G338,320.0,588.0,309.0,17.0,130.0,1050.0,141.0,567.0,112.0,651.0,560.0,480.0,731.0,656.0,380.0,518.0,668.0,556.0,521.0,506.0,783.0,92.0,9.94,311.0,553.0,10.0,58.0,132.0,80.0,96.0,41.0,63.0,5.88,3.0,6.0,16.0,25.0,5.0,2105.0,511.0,478.0,905.0
G339,2.0,4.65,3.69,1.67,7.93,4.01,2.98,5.55,7.53,1.0,4.0,6.08,5.0,1.0,2.0,1.0,4.0,2.99,5.0,4.7,3.0,4.97,1.42,5.36,6.0,2.45,4.62,1.45,1.37,1.0,3.31,1.0,6.67,4.58,3.15,4.0,6.0,6.0,28.0,1.52,8.0,2.0
G340,5.24,1.0,8.29,3.88,4.35,7.51,8.52,1.0,8.28,2.34,2.29,4.23,1.0,8.43,1.31,1.0,6.54,9.46,6.3,1.72,1.0,3.47,2.62,2.77,1.89,2.97,8.91,7.26,8.72,7.4,6.36,6.58,8.29,3.06,4.97,1.0,1.0,6.23,9.67,1.0,1.0,4.65
G341,5.87,1.72,8.92,8.46,2.15,1.63,3.68,9.86,5.99,9.98,2.87,5.93,3.71,4.06,1.51,2.06,2.87,6.66,3.55,3.85,1.56,4.31,1.28,6.24,3.34,3.51,9.87,6.4,1.62,8.52,9.92,9.56,4.57,1.29,4.94,9.0,47.0,9.0,9.79,5.92,2.14,8.26
G342,5.86,6.87,7.26,1.21,9.53,9.69,5.06,4.27,3.25,5.36,3.31,4.06,9.0,4.3,9.86,7.77,5.85,6.27,2.62,5.39,8.16,9.01,1.56,3.22,6.78,7.0,8.37,4.19,9.26,8.07,2.89,2.14,2.33,2.52,6.6,8.0,1.0,5.0,2.0,8.04,1.0,1.0
G343,6.24,2.79,6.18,2.1,9.69,8.21,4.62,6.04,1.66,7.62,3.5,7.28,2.8,8.36,7.9,7.38,2.04,2.56,3.22,4.47,7.32,1.17,7.98,7.55,5.81,5.92,2.52,9.15,1.48,2.59,5.67,6.7,3.45,3.3,7.76,9.06,3.13,2.0,3.0,1.04,2.0,6.62
G344,232.0,427.0,214.0,23.0,168.0,537.0,89.0,266.0,9.0,48.0,212.0,211.0,190.0,154.0,67.0,165.0,172.0,69.0,75.0,83.0,487.0,83.0,6.38,94.0,308.0,3.0,3.0,24.0,9.0,9.0,6.0,6.0,7.86,2.0,8.1,3.94,2.0,1.0,232.0,46.0,76.0,32.0
G345,1711.0,3293.0,1709.0,147.0,1063.0,5021.0,648.0,2700.0,305.0,2441.0,2566.0,3176.0,3576.0,2640.0,2064.0,2956.0,2971.0,2005.0,1689.0,2343.0,4008.0,681.0,3.78,1204.0,2746.0,54.0,121.0,482.0,147.0,619.0,307.0,545.0,5.64,167.0,76.0,98.0,155.0,70.0,9315.99,2003.0,2445.0,2227.0
G346,106.43,239.53,114.32,4.0,82.31,560.83,94.21,337.56,79.31,475.18,409.72,268.27,489.01,572.0,199.03,346.0,293.39,270.8,289.71,368.71,352.73,35.0,1.99,182.0,471.69,13.68,33.93,126.25,52.84,114.0,43.0,124.65,2.28,27.0,7.0,14.41,24.32,12.0,462.04,100.63,112.14,479.79
G347,2.19,1.0,2.3,6.65,4.54,5.16,8.65,5.54,3.13,4.81,4.02,3.96,3.25,8.77,3.05,9.22,1.6,3.67,4.99,3.47,8.32,7.66,1.81,3.43,4.16,1.09,5.0,4.68,4.83,5.22,6.18,8.16,6.89,7.1,9.77,9.72,3.92,6.26,2.43,5.44,1.24,6.39
G348,154.0,432.0,193.0,16.0,80.0,697.0,102.0,589.0,78.0,531.0,514.0,1284.0,1758.0,1198.0,1186.0,1281.0,1705.0,571.0,530.0,544.0,395.0,50.0,4.75,121.0,290.0,9.0,31.0,54.0,23.0,81.0,34.0,68.0,9.73,11.0,7.0,31.0,22.0,14.0,2764.0,849.0,784.0,528.0
G349,155.0,341.0,165.0,15.0,150.0,655.0,100.0,455.0,75.0,318.0,411.0,611.0,852.0,553.0,721.0,559.0,846.0,564.0,480.0,487.0,316.0,48.0,9.46,112.0,251.0,7.0,28.0,127.0,36.0,47.0,35.0,38.0,7.83,2.0,1.0,4.05,1.0,1.0,1991.0,669.0,661.0,476.0
G350,55.0,126.0,64.0,2.0,60.0,260.0,55.0,184.0,9.0,123.0,188.0,168.0,238.0,200.0,164.0,150.0,232.0,229.0,195.0,236.0,153.0,23.0,7.25,54.0,154.0,1.0,30.0,63.0,28.0,59.0,36.0,34.0,2.59,3.0,5.0,2.0,2.0,4.57,543.0,146.0,166.0,140.0
G351,9.12,2.0,9.92,1.24,1.0,1.0,2.81,1.0,6.4,4.21,1.0,2.0,3.0,1.57,7.0,1.0,1.0,5.0,1.0,3.0,3.0,5.19,1.69,8.17,4.8,2.24,1.65,1.83,7.23,6.88,9.62,2.0,9.08,9.26,9.48,14.0,27.0,11.0,18.0,5.83,6.0,8.52
G352,187.0,375.0,201.0,10.0,97.0,848.0,85.0,356.0,60.0,409.0,510.0,398.0,756.0,448.0,370.0,445.0,581.0,443.0,401.0,502.0,465.0,67.0,3.33,185.0,442.0,4.0,46.0,164.0,76.0,232.0,122.0,178.0,1.16,106.0,48.0,149.0,164.0,77.0,2355.0,560.0,623.0,466.0
G353,7.81,9.06,3.08,6.84,6.27,1.43,7.84,8.24,9.41,5.38,6.65,4.46,4.67,1.01,1.97,9.51,3.46,9.44,1.19,4.18,6.09,7.84,9.33,3.14,4.2,8.08,5.69,6.89,6.96,4.32,8.16,7.27,3.81,9.74,5.86,4.26,6.08,6.08,7.2,8.58,4.15,6.41
G354,5.0,3.0,5.0,1.6,2.87,10.0,5.69,5.0,3.0,11.0,7.0,7.0,4.0,3.0,5.0,2.0,13.0,11.0,4.0,6.0,4.0,4.0,8.51,9.19,12.0,3.61,9.63,2.0,2.34,1.0,4.97,1.0,1.17,4.74,6.56,3.0,8.0,7.0,43.0,15.0,10.0,16.0
G355,191.0,393.0,148.0,14.0,158.0,413.0,82.0,290.0,84.0,605.0,260.0,235.0,244.0,160.0,202.0,205.0,325.0,382.0,296.0,328.0,606.0,92.0,4.36,220.0,610.0,11.0,45.0,89.0,29.0,96.0,47.0,78.0,6.22,19.0,8.0,15.0,14.0,7.0,1452.0,398.0,385.0,673.0
G356,9.0,31.0,3.0,2.29,8.5,41.0,4.0,14.0,2.0,16.0,13.0,15.0,21.0,4.0,20.0,19.0,26.0,27.0,18.0,18.0,45.0,6.0,4.22,25.0,36.0,1.0,14.0,10.0,1.0,23.0,22.0,40.0,4.81,8.0,8.0,6.0,9.0,3.0,61.0,12.0,29.0,11.0
G357,93.0,249.0,102.0,10.0,92.0,352.0,86.0,276.0,38.0,169.0,277.0,217.0,247.0,180.0,240.0,123.0,310.0,327.0,256.0,215.0,258.0,44.0,2.3,107.0,210.0,6.0,24.0,102.0,34.0,87.0,63.0,63.0,8.97,47.0,22.0,18.0,37.0,18.0,1800.0,718.0,578.0,279.0
G358,5803.0,13021.85,5729.97,522.0,3818.0,21068.92,2727.0,10945.78,1514.0,10316.97,11416.88,13658.98,15843.95,11640.98,10405.96,12406.96,15107.86,10540.96,9707.0,9795.94,14592.51,2149.98,3.0,4872.98,10550.59,211.0,327.0,1055.98,327.99,1369.0,588.0,973.0,11.0,249.0,105.98,1732.0,2654.98,1104.0,42387.49,11432.95,11602.76,12155.82
G359,108.0,228.0,128.0,10.0,52.0,305.0,35.0,177.0,72.0,385.0,204.0,165.0,224.0,166.0,208.0,151.0,248.0,317.0,291.0,273.0,273.0,47.0,7.9,94.0,191.0,5.0,57.0,136.0,72.0,269.0,158.0,309.0,1.5,193.0,86.0,191.0,276.0,78.0,1847.0,539.0,543.0,500.0
G360,33.0,63.0,26.0,5.0,14.0,117.0,15.0,44.0,14.0,136.0,72.0,51.0,72.0,82.0,34.0,62.0,76.0,103.0,53.0,64.0,40.0,5.0,5.46,32.0,66.0,1.34,21.0,26.0,16.0,41.0,26.0,30.0,6.52,8.0,9.0,10.0,8.0,3.0,1185.0,351.0,328.0,199.0
G361,1.58,5.11,7.26,5.96,1.36,1.0,2.99,7.11,4.1,9.0,7.58,8.89,9.75,6.17,3.31,4.88,4.03,3.57,7.49,6.58,2.45,7.04,8.6,3.24,4.0,6.62,1.91,6.83,8.01,8.02,7.68,9.22,9.06,9.3,5.08,3.17,9.46,1.49,39.0,13.0,6.0,6.0
G362,349.0,582.0,312.0,31.0,162.0,935.0,93.0,447.0,149.0,1301.09,421.0,688.0,761.0,348.0,412.0,892.0,675.0,626.0,473.03,933.0,903.0,176.0,6.28,470.0,1225.14,28.0,4.0,59.0,10.0,445.0,218.0,361.0,4.73,175.0,69.0,54.0,48.0,27.0,5616.0,877.0,1258.04,965.0
G363,268.0,507.0,289.0,26.0,210.0,814.0,164.0,458.0,99.0,723.0,432.0,639.0,547.0,318.0,535.0,560.0,708.0,485.99,456.0,522.0,598.0,97.0,3.83,176.0,478.0,16.0,25.0,62.0,12.0,86.0,39.0,44.98,3.87,11.0,4.0,11.0,17.0,5.0,4493.0,1047.0,1245.0,742.0
G364,4123.0,7977.0,4029.0,308.0,2558.0,12967.0,1590.0,6284.0,1938.0,13708.0,6404.0,7819.0,8927.0,5213.0,6049.0,7002.0,9604.0,23221.0,19246.0,24869.48,11445.0,1743.0,5.72,4015.0,8960.0,216.0,270.0,1078.0,361.0,1462.0,594.0,1083.0,4.66,141.0,53.0,41.0,52.0,24.0,75607.93,17062.0,18905.0,13350.99
G365,938.0,2170.0,1109.0,62.0,625.0,3583.0,415.0,1766.0,286.0,1922.0,1911.0,1783.0,2416.0,1723.0,1380.0,1765.0,2094.0,2257.0,1882.0,2174.0,2691.0,401.0,8.37,736.0,1832.0,46.0,133.0,310.0,135.0,488.0,272.0,451.0,9.74,69.0,42.0,13.0,18.0,5.0,17606.0,4027.0,4313.0,2086.0
G366,78.0,210.0,56.0,5.0,84.0,359.0,46.0,185.0,42.0,241.0,189.0,163.0,242.0,107.0,190.0,225.0,240.0,237.0,147.0,163.0,203.0,29.0,5.5,54.0,245.0,7.0,1.0,19.0,2.0,44.0,70.0,56.0,1.62,13.0,7.0,9.0,11.0,9.0,828.0,210.0,311.0,192.0
G367,161.0,276.0,155.0,15.0,93.0,429.0,96.0,235.0,41.0,280.0,238.0,275.0,267.0,149.0,202.0,289.0,288.0,243.0,162.0,217.0,350.0,83.0,6.33,179.0,482.0,9.0,49.0,97.0,26.0,84.0,50.0,68.0,5.31,11.0,14.0,16.0,7.0,1.0,1130.0,190.0,251.0,277.0
G368,121.0,143.94,103.9,10.0,48.0,223.75,40.0,107.0,18.0,133.0,119.0,173.0,139.92,58.0,77.0,191.96,133.0,92.0,75.0,112.89,313.97,68.0,4.35,153.0,385.0,8.0,1.0,15.0,2.0,93.0,38.0,71.0,2.02,29.0,7.0,4.0,7.0,3.0,637.52,86.0,116.0,73.0
G369,28.0,53.0,19.0,3.0,14.0,77.0,20.0,36.0,17.0,73.0,51.0,63.0,57.0,50.0,73.0,79.0,71.0,101.0,73.0,51.0,96.0,17.0,2.66,37.0,97.0,2.0,11.0,24.0,6.0,43.0,30.0,37.0,2.89,30.0,15.0,212.0,247.0,136.0,599.0,178.0,211.0,143.0
G370,8.54,4.0,7.22,5.34,1.0,6.0,1.0,8.99,2.0,4.0,2.0,1.0,2.0,1.0,8.0,5.0,5.0,6.0,3.0,6.0,2.0,8.14,3.5,1.43,7.82,9.41,8.55,1.0,7.79,1.48,9.69,4.31,7.77,9.95,9.92,3.29,2.35,1.05,7.0,4.0,5.0,4.0
G371,6.89,7.79,4.67,4.42,3.02,6.46,8.99,9.13,5.72,8.87,8.8,1.0,6.12,1.76,8.11,9.8,1.0,3.0,2.0,4.0,1.0,5.85,9.93,8.75,8.42,9.4,8.76,8.19,1.04,4.32,3.6,2.0,4.99,1.21,1.07,9.87,5.1,2.0,12.0,4.0,1.0,7.76
G372,131.0,371.0,130.0,27.0,99.0,568.0,79.0,228.0,49.0,316.0,232.0,336.0,352.0,289.0,299.0,365.0,392.0,330.0,254.0,353.0,402.0,85.0,8.81,161.0,433.0,10.0,25.0,93.0,37.0,81.0,52.0,84.0,7.0,22.0,4.0,27.0,25.0,19.0,1410.0,290.0,378.0,400.0
G373,210.0,459.0,242.0,19.0,138.0,707.0,133.0,373.0,100.0,748.0,361.0,447.0,461.0,344.0,335.0,433.0,524.0,602.0,466.0,534.0,534.0,70.0,1.67,238.0,530.0,8.0,3.0,69.0,26.0,199.0,120.0,217.0,1.26,110.0,57.0,98.0,128.0,57.0,7060.0,1745.0,1934.0,911.0
G374,9.95,8.73,3.35,9.8,2.12,5.5,5.22,3.51,9.76,6.59,5.16,1.65,6.11,9.86,9.58,7.12,8.88,2.29,2.09,9.63,4.55,9.04,6.53,3.67,4.24,7.19,3.41,6.68,4.72,8.7,7.55,7.55,7.12,5.32,5.01,6.11,3.84,2.87,6.69,3.29,7.15,7.34
G375,8.0,8.69,2.64,6.01,4.37,5.73,1.26,7.8,4.43,7.7,9.24,9.03,3.36,6.53,3.68,6.69,1.68,8.74,1.08,4.39,2.97,3.05,7.58,2.22,5.27,8.27,4.26,9.0,1.79,5.0,4.0,6.0,9.93,4.0,4.0,12.0,25.0,7.0,3.68,9.03,2.13,9.38
G376,98.0,192.0,51.0,8.0,40.0,307.0,45.0,135.0,43.0,422.0,151.0,242.0,272.0,138.0,157.0,347.0,299.0,250.0,194.0,300.0,246.0,60.0,9.15,90.0,281.0,6.0,1.0,11.0,9.73,134.0,49.0,100.0,1.72,31.0,9.0,16.0,4.0,6.0,1814.0,323.0,436.0,293.0
G377,347.0,770.0,354.0,26.0,280.0,1411.0,236.0,777.0,127.0,790.0,729.0,802.0,1030.0,578.0,735.0,667.0,1098.0,1013.0,842.0,918.0,889.0,122.0,8.93,268.0,711.0,13.0,45.0,148.0,71.0,200.0,113.0,205.0,7.59,62.0,25.0,24.0,49.0,23.0,3276.0,887.0,844.0,820.0
G378,5.0,6.92,8.72,8.27,6.62,4.0,5.0,3.02,4.64,2.48,4.18,3.47,1.99,6.73,5.0,5.88,7.29,7.88,7.81,25.0,11.0,1.0,6.75,5.0,9.29,2.1,5.26,2.0,6.84,3.0,7.32,1.0,9.28,5.92,1.0,4.02,7.2,4.58,11.42,3.34,7.0,1.0
G379,97.0,171.0,21.77,3.66,54.0,267.0,23.0,186.0,46.0,351.0,168.0,208.0,300.0,58.79,146.0,215.73,224.0,244.0,177.0,267.0,197.49,41.54,3.12,39.8,214.0,11.0,6.0,25.0,4.0,105.0,51.28,113.4,2.12,58.6,14.74,43.05,59.0,16.25,2615.0,480.0,616.0,309.0
G380,1746.0,4300.0,1674.0,199.0,2304.0,5718.0,2780.0,4185.0,1264.0,6044.0,4279.0,4331.0,3508.0,1437.0,4428.0,2057.0,5201.0,5099.0,5495.0,4677.0,3698.0,751.0,1.0,1238.0,3057.0,63.0,307.0,849.0,235.0,355.0,146.0,227.0,9.68,62.0,25.0,59.0,95.0,35.0,14887.0,5736.0,4632.0,9182.0
G381,9.47,6.31,7.68,6.42,4.22,6.71,9.08,5.78,7.27,6.45,1.43,5.78,9.85,5.99,7.53,3.77,8.39,1.06,3.33,7.4,1.39,3.73,3.72,1.4,7.57,6.49,8.79,7.55,3.95,4.22,7.02,7.59,9.74,8.92,8.72,8.58,2.13,7.51,1.36,2.44,3.65,3.03
G382,4.0,6.14,3.95,6.84,1.0,1.0,4.94,2.0,8.14,4.75,3.41,2.0,4.0,1.0,8.38,1.0,1.0,2.0,4.9,9.48,4.0,7.24,5.8,1.0,6.59,2.75,4.08,4.74,1.18,8.07,2.0,5.19,2.76,9.63,7.99,7.93,1.0,8.45,5.25,1.0,1.0,6.82
G383,3.0,7.0,7.95,6.49,3.0,15.91,6.47,3.24,2.0,9.0,3.2,7.63,9.23,2.0,24.52,7.14,11.82,13.63,7.0,3.81,4.87,1.0,4.44,3.4,6.0,5.43,2.38,5.97,9.79,1.0,3.87,2.59,8.9,1.0,2.0,5.71,2.0,1.0,21.06,16.82,33.73,8.39
G384,172.0,340.0,156.0,15.0,137.0,588.0,114.0,299.0,71.0,412.0,297.0,274.0,286.0,133.0,240.0,157.0,280.0,449.0,350.0,327.0,334.0,53.0,6.54,204.0,350.0,6.0,24.0,94.0,26.0,70.0,49.0,56.0,7.02,17.0,8.0,11.0,20.0,11.0,1741.0,393.0,405.0,627.0
G385,1.0,6.63,1.41,7.68,3.05,2.56,2.85,9.13,2.44,1.0,1.0,2.0,3.55,1.82,7.67,2.0,1.0,1.0,5.91,9.23,1.0,3.16,1.83,8.0,4.0,9.77,3.94,6.49,6.74,8.09,1.03,2.0,4.59,1.0,3.4,8.77,5.99,2.56,4.0,9.5,8.82,2.0
G386,334.0,707.0,303.0,24.0,315.0,1188.0,142.0,462.0,178.0,1166.0,525.0,446.0,396.0,220.0,325.0,389.0,497.0,1273.0,1044.0,1380.0,1029.0,187.0,1.0,525.0,1344.0,40.0,27.0,76.0,22.0,80.0,30.0,61.0,8.46,9.0,4.0,20.0,50.0,21.0,6773.0,1613.0,1870.0,1196.0
G387,67.0,134.0,53.0,7.0,37.0,167.0,19.0,101.0,18.0,114.0,110.0,150.0,117.0,75.0,141.0,146.0,155.0,130.0,92.0,102.0,136.0,36.0,8.94,49.0,137.0,5.0,8.0,31.0,3.0,23.0,13.0,23.0,5.69,10.0,4.0,4.0,4.0,2.0,453.0,104.0,113.0,134.0
G388,272.0,539.0,206.0,20.0,170.0,893.0,113.0,447.0,127.0,969.0,406.0,1466.0,1531.0,1040.0,939.0,1677.0,1703.0,572.0,488.0,743.0,570.0,113.0,4.59,153.0,470.0,10.0,15.0,33.0,10.0,92.0,26.0,65.0,5.53,18.0,2.0,1.0,4.68,1.06,4577.0,881.0,1201.0,789.0
G389,1.0,3.0,5.24,8.58,3.88,3.76,3.1,1.64,8.22,1.0,4.3,4.28,9.85,1.0,4.0,1.0,1.0,7.0,4.0,6.24,4.38,7.63,4.29,1.84,9.63,4.88,1.78,7.38,6.79,7.07,6.75,7.99,8.36,9.54,1.27,5.23,8.41,4.54,54.0,25.0,16.0,1.0
G390,18.0,44.0,13.0,2.0,13.0,92.0,8.0,30.0,7.0,65.0,35.0,73.0,75.0,44.0,46.0,96.0,93.0,61.0,47.0,66.0,47.0,7.0,1.36,29.0,63.0,6.0,8.0,8.0,5.95,13.0,8.0,17.0,6.52,7.08,1.01,3.68,1.0,6.84,254.0,47.0,65.0,74.0
G391,2.0,4.0,4.0,7.82,2.0,5.0,7.98,10.0,15.0,137.0,11.0,7.0,5.0,4.0,5.29,8.0,5.0,11.0,5.0,13.0,16.0,4.0,6.2,4.0,26.0,8.56,2.11,3.0,2.0,19.0,7.0,18.0,7.84,16.0,1.0,1.0,1.0,7.47,23.0,1.0,1.0,137.0
G392,226.0,542.0,217.0,24.0,169.0,780.0,254.0,517.0,73.0,412.0,444.0,596.0,598.0,365.0,482.0,403.0,652.0,561.0,517.0,557.0,541.0,116.0,3.29,197.0,457.0,13.0,77.0,167.0,31.0,72.0,22.0,37.0,1.0,8.0,5.0,5.0,8.0,1.0,1738.0,470.0,517.0,511.0
G393,9.9,8.67,2.25,3.87,8.6,1.19,7.64,7.61,9.39,6.07,4.44,4.68,2.5,4.21,7.24,4.11,1.0,2.28,5.53,1.0,1.0,9.17,2.32,8.76,9.92,4.53,4.1,8.11,3.29,2.92,9.75,2.83,9.61,2.47,7.34,3.48,6.59,7.75,2.0,1.0,2.76,1.0
G394,151.0,282.0,203.0,6.0,90.0,626.0,49.0,214.0,65.0,476.0,302.0,279.0,378.0,357.0,218.0,370.0,358.0,374.0,352.0,518.0,452.0,63.0,6.72,227.0,617.0,11.0,5.0,31.0,11.0,317.0,140.0,248.0,2.78,225.0,112.0,568.0,643.0,316.0,2878.0,527.0,653.0,399.0
G395,44.97,83.9,11.88,6.84,8.66,147.65,40.49,86.31,23.53,121.66,69.62,88.66,104.43,33.0,149.99,118.88,130.44,139.19,98.05,78.26,65.58,10.56,8.59,29.89,53.82,1.0,5.0,6.81,1.25,33.94,33.79,26.97,6.73,5.8,6.0,4.0,6.07,4.0,429.66,128.04,168.47,93.17
G396,101.0,201.0,91.0,6.0,102.0,471.0,48.0,183.0,41.0,283.0,244.0,197.0,274.0,294.0,183.0,195.0,280.0,350.0,279.0,322.0,275.0,34.0,3.92,164.0,373.0,2.0,39.0,87.0,42.0,115.0,45.0,95.0,5.27,33.0,20.0,60.0,74.0,21.0,1104.0,285.0,315.0,250.0
G397,24.0,106.0,49.0,2.0,52.0,189.0,68.0,140.0,22.0,170.0,160.0,168.0,204.0,143.0,369.0,219.0,545.0,398.0,422.0,308.0,69.0,9.0,5.96,23.0,35.0,2.0,30.0,31.0,15.0,16.0,11.0,10.0,9.36,8.0,1.0,3.0,3.0,1.0,795.0,386.0,247.0,263.0
G398,7.0,19.0,3.0,6.97,6.0,31.0,2.0,13.0,3.0,37.0,3.0,11.0,8.0,13.0,7.0,9.0,12.0,10.0,7.0,7.0,17.0,1.0,8.26,5.0,9.0,3.09,8.25,3.0,3.64,4.0,8.34,3.0,7.98,2.0,9.32,2.0,6.0,3.0,65.0,15.0,9.0,53.0
G399,1681.71,3387.56,1634.42,118.95,942.0,5640.74,719.37,2938.35,697.0,3764.92,3462.82,2850.0,4123.27,4249.0,2802.29,3014.0,3762.0,5842.0,5325.44,5242.98,4574.32,566.88,9.65,1548.62,3407.0,83.0,524.0,1104.45,506.91,956.82,379.08,747.89,1.0,205.0,120.0,348.85,497.0,189.0,29760.18,7710.0,7508.38,4845.25
G400,9.2,3.9,5.46,9.49,9.78,2.14,3.81,5.38,7.1,8.9,2.16,3.75,3.19,7.18,6.2,6.01,7.91,9.82,1.53,4.52,1.03,2.95,6.56,4.94,7.45,2.7,1.77,8.22,7.82,4.15,4.45,1.05,1.22,9.98,2.86,9.43,6.7,7.12,1.0,9.17,1.92,7.71
G401,5.61,1.75,4.74,7.61,5.09,6.11,2.48,5.31,1.38,9.42,7.99,2.8,3.12,7.31,6.33,1.96,7.38,2.11,7.92,8.09,6.66,6.09,2.14,1.0,5.31,7.4,2.74,9.99,8.41,8.61,2.59,4.21,7.63,5.76,5.41,1.0,8.01,1.65,3.27,5.44,5.66,8.53
G402,195.0,342.0,205.0,9.0,124.0,784.0,85.0,414.0,109.0,481.0,483.0,404.0,697.0,435.0,364.0,388.0,556.0,528.0,479.0,511.0,443.0,68.0,8.3,180.0,427.0,7.0,32.0,159.0,42.0,171.0,91.0,181.0,7.74,77.0,41.0,124.0,140.0,64.0,1959.0,472.0,443.0,550.0
G403,51.0,81.0,40.0,1.15,30.0,125.0,14.0,43.0,14.0,102.0,46.0,56.0,55.0,41.0,38.0,37.0,62.0,84.0,86.0,83.0,106.0,14.0,1.4,32.0,81.0,2.0,5.0,20.0,9.0,11.0,10.0,8.0,1.36,6.0,4.0,5.0,7.0,10.0,989.56,268.0,276.0,132.0
G404,847.0,2225.0,949.0,86.0,984.0,3197.0,941.0,2309.0,204.0,1183.0,2044.0,2138.0,2070.0,1031.0,1732.0,1100.0,2300.0,1833.0,1703.0,1667.0,1823.0,374.0,4.2,571.0,1357.0,28.0,160.0,464.0,167.0,172.0,52.0,81.0,5.36,23.0,8.0,8.0,21.0,9.0,5423.0,1806.0,1697.0,1758.0
G405,269.0,546.0,284.0,20.0,235.0,1076.0,183.0,646.0,87.0,702.0,635.0,697.0,777.0,629.0,491.0,763.0,803.0,766.0,640.0,729.0,759.0,118.0,4.99,315.0,676.0,8.0,93.0,216.0,95.0,241.0,130.0,226.0,2.73,94.0,47.0,292.0,360.0,180.0,3241.0,735.0,796.0,717.0
