,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
G31,343.0,132.0,321.0,85.0,170.0,72.0,177.0,18.0,20.0,34.0,57.0,69.0,34.0,121.0,309.0,110.0,69.0,65.0,223.0,92.0,62.0,219.0,458.0,327.0
G32,1.0,49.0,18.0,76.0,5.0,59.0,6.0,17.0,334.0,81.0,166.0,30.0,275.0,5.0,9.05,2.97,1.76,1.82,12.0,2.03,9.56,6.67,4.34,5.35
G33,1.0,1.0,8.84,9.02,2.77,2.0,1.0,5.0,1.51,5.76,1.0,3.0,8.93,5.54,4.18,1.0,1.0,2.0,1.0,3.0,6.07,3.45,4.0,3.0
G34,41.0,41.0,130.0,15.0,25.0,72.0,36.0,9.0,3.0,3.0,4.0,4.0,49.0,55.0,2.0,290.0,6.0,97.0,133.0,315.0,89.0,8.26,174.0,2.18
G35,1.0,5.0,2.0,6.0,3.0,122.0,4.0,1.0,3.75,2.0,9.54,1.0,9.62,6.93,3.01,7.61,5.95,37.0,9.18,75.0,8.0,9.86,7.31,6.33
G36,6.56,1071.0,9.0,35.0,1493.0,1892.0,189.0,22.0,2.0,23.0,53.0,290.0,6.31,1.0,1553.0,147.0,803.0,740.0,117.0,4.0,9.07,288.0,499.0,3683.0
G37,19300.0,1133.0,16288.0,644.0,2031.0,541.0,9128.0,25642.0,1324.0,2893.0,7680.0,1076.0,99569.0,19475.0,28218.0,25147.0,10567.0,13399.0,47302.0,20435.0,111556.0,25338.0,29715.0,34927.0
G38,467.0,395.0,200.0,78.0,110.0,271.0,145.0,33.0,74.0,67.0,162.0,176.0,134.0,133.0,398.0,201.0,191.0,329.0,139.0,180.0,406.0,268.0,367.0,322.0
G39,621.0,1071.0,1005.0,82.0,49.0,82.0,59.0,16.0,14.0,64.0,48.0,25.0,32.0,29.0,167.0,291.0,1.0,32.0,76.0,55.0,43.0,810.0,177.0,43.0
G40,615.0,1120.0,1266.0,288.0,679.0,3909.0,929.0,925.0,278.0,414.0,296.0,225.0,220.0,36.0,1334.0,561.0,1582.0,5058.0,122.0,1739.0,716.0,414.0,950.0,653.0
G41,6200.0,1303.0,3880.0,1594.0,2027.0,1948.0,7498.0,346.0,1073.0,1510.0,496.0,1157.0,6111.0,1243.0,1365.0,1391.0,437.0,2763.0,1456.0,17096.0,4457.0,18464.0,5349.0,29000.0
G42,1.0,7.0,59.0,10.0,45.0,1.0,7.0,1.0,1.98,8.22,4.0,9.0,3.88,158.0,31.0,5.68,27.0,5.45,9.81,19.0,5.0,59.0,1.53,1.0
G43,103.0,526.0,225.0,139.0,177.0,228.0,367.0,326.0,359.0,88.0,180.0,163.0,9.0,5.0,38.0,6.0,1.89,2.0,69.0,4.29,1.0,5.94,8.3,137.0
