,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
G639,596.0,295.0,398.0,120.0,222.0,205.0,426.0,77.0,88.0,171.0,108.0,198.0,252.0,127.0,439.0,279.0,213.0,119.0,139.0,468.0,198.0,344.0,168.0,467.0
G640,619.0,569.0,349.0,47.0,446.0,667.03,310.0,226.0,128.0,268.0,151.0,186.0,396.0,321.0,675.0,380.0,491.0,1263.0,825.02,298.0,875.0,712.0,321.0,514.0
G641,60.0,19.0,948.0,102.0,9.0,43.0,14.0,2.0,6.0,11.0,13.0,14.0,60.0,3.0,37.0,66.0,7.0,31.0,5.0,8.77,7.5,39.0,7.0,3.0
G642,969.0,1270.0,901.0,599.0,2386.0,4094.0,1482.0,99.0,63.0,59.0,78.0,144.0,161.0,295.0,622.0,819.0,388.0,2642.0,820.0,1222.0,112.0,334.0,1402.0,1237.0
G643,17.0,8.0,510.0,15.0,9.0,42.0,27.0,2.0,44.0,8.0,29.0,2.0,4.47,5.7,9.0,8.12,6.92,1.42,2.88,4.28,4.69,4.44,3.0,1.53
G644,103.0,1146.0,244.82,3296.0,407.73,785.01,3762.99,104.0,992.99,148.0,433.65,149.0,6.0,20.0,1.0,1.0,23.0,2.0,18.0,2.95,1.0,8.4,15.0,4.28
G645,537.0,493.0,947.0,446.0,866.0,841.0,1275.0,323.0,495.0,452.0,463.0,612.0,497.0,416.0,830.0,1413.0,322.0,828.0,1054.0,515.0,536.0,243.0,1210.0,563.0
G646,69.0,11.0,33.0,5.0,13.0,122.0,6.0,2.0,2.0,7.0,4.0,5.0,105.0,12.0,13.0,21.0,10.0,425.0,4.12,58.0,151.0,57.0,60.0,444.0
G647,37.0,11.0,51.0,12.0,22.0,75.0,11.0,4.0,4.0,7.0,5.0,23.0,17.0,15.0,24.0,31.0,2.0,191.0,1.34,2.72,8.0,12.0,38.0,84.0
G648,5427.66,9116.94,1388.0,1619.0,26719.88,18543.67,11500.87,1095.95,751.0,398.0,1519.87,1391.0,1338.0,15674.9,14946.97,7739.94,53037.97,47582.77,37776.1,31903.26,8441.96,17936.66,29149.71,27765.72
G649,3.0,3.0,10.0,7.11,8.0,6.0,1.0,2.0,8.0,1.0,21.0,34.0,5.47,3.0,64.0,1.66,1.51,8.9,4.86,4.32,5.41,8.39,8.93,9.03
G650,917.0,1316.0,929.0,251.0,829.0,1055.0,1002.0,304.0,311.0,650.0,480.0,542.0,1462.0,1251.0,1738.0,1708.0,2419.0,1624.0,2035.0,1748.0,1967.0,1335.0,2159.0,1300.0
G651,89.0,466.98,175.94,238.0,89.74,242.5,330.72,181.0,509.0,239.92,288.85,504.98,106.0,101.0,554.0,161.0,57.0,232.0,125.0,146.0,187.0,51.0,758.0,214.0
G652,1185.0,7.0,134.0,7.0,39.0,41.0,63.0,1.0,2.0,5.0,3.0,6.0,95.0,1.0,320.0,50.0,6.0,49.0,38.0,2.03,5.08,6.59,182.0,1.76
G653,788.89,187.2,1754.02,62.1,112.13,152.96,138.57,29.8,32.42,31.33,11.18,2.31,136.76,41.26,7.22,185.53,26.56,157.62,55.0,94.94,134.65,18.16,122.22,9.66
G654,577.0,1413.0,694.0,41.0,103.0,587.0,69.0,49.0,34.0,34.0,69.0,72.0,237.0,673.0,448.0,141.0,635.0,149.0,54.0,362.0,250.0,488.0,524.0,688.0
G655,16.0,551.0,54.0,108.0,750.42,547.0,475.0,130.0,22.0,48.0,92.0,65.0,39.0,216.0,1832.0,1914.0,1360.0,950.0,1687.0,1047.0,325.0,957.0,534.0,1979.0
G656,1671.0,269.0,1812.0,127.66,301.58,424.0,455.0,33.0,27.0,46.0,43.0,60.0,291.0,249.0,1377.0,490.0,212.0,743.0,1073.0,679.0,91.0,1486.0,862.0,1459.0
G657,65.0,324.0,177.0,124.0,171.0,725.0,228.0,551.0,760.0,118.0,152.0,96.0,22.0,74.0,33.0,118.0,29.0,621.0,4.43,418.0,266.0,770.0,689.0,119.0
G658,68.0,211.0,264.0,82.0,168.0,565.0,309.0,732.0,1339.0,137.0,188.0,193.0,18.0,55.0,48.0,12.0,43.0,109.0,1.0,81.0,453.0,221.0,535.0,118.0
G659,51.0,118.0,592.0,60.0,282.0,305.0,334.0,76.0,121.0,201.0,185.0,282.0,49.0,173.0,823.0,367.0,300.0,379.0,674.0,616.0,724.0,816.0,607.0,559.0
G660,1.0,5.0,40.0,4.0,9.33,7.76,17.0,2.0,25.0,1.0,5.0,5.0,1.51,3.31,6.2,5.11,1.85,8.15,6.16,6.1,3.31,6.72,9.86,2.6
G661,113642.54,58620.04,430358.83,19853.68,239479.39,125937.44,209921.72,42736.02,36112.0,30278.0,21261.0,26982.19,67871.82,32399.0,50565.0,101130.78,92731.64,326651.9,193196.65,36570.22,158685.96,9371.0,61064.7,46949.77
G662,1950.87,2377.52,3679.77,605.0,1845.62,2834.48,1600.08,471.0,473.98,576.25,567.97,664.59,944.19,2058.0,3376.98,1209.0,1111.85,1306.98,1538.0,1521.0,876.99,2351.59,1946.0,1938.0
G663,3708.0,977.0,2532.0,100.0,631.0,967.0,822.0,332.0,151.0,194.0,276.0,342.0,569.0,218.0,577.0,120.0,66.0,365.0,179.0,259.0,604.0,213.0,413.0,483.0
G664,291.0,659.0,926.0,51.0,734.0,1627.0,316.0,158.0,59.0,75.0,62.0,229.0,47.0,258.0,90.0,433.0,215.0,1368.0,2.0,686.0,338.0,198.0,165.0,436.0
G665,463.0,694.0,610.0,154.0,862.0,898.0,803.0,281.0,257.0,133.0,171.0,168.0,67.0,233.0,292.0,295.0,247.0,161.0,251.0,62.0,176.0,276.0,98.0,210.0
G666,17.0,0.44,9.2,2.76,5.17,1.11,9.21,5.8,7.48,1.77,1.0,4.8,48.0,9.28,9.32,3.8,5.45,9.91,7.53,1.33,8.93,6.06,3.24,5.65
G667,4.26,15.89,6.33,68.38,1.05,7.0,4.4,7.0,6.0,7.36,14.3,10.0,1.0,12.0,5.89,9.6,8.81,3.47,6.03,1.0,2.22,4.0,4.12,9.26
G668,205.0,770.0,222.0,114.0,523.0,474.0,281.0,167.0,84.0,274.0,257.0,373.0,59.0,105.0,170.0,169.0,306.0,401.0,96.0,82.0,195.0,318.0,204.0,663.0
G669,269.0,72.0,78.0,24.0,134.0,32.0,58.0,7.0,8.0,18.0,20.0,23.0,12.0,21.0,13.0,14.0,42.0,14.0,99.0,97.0,2.0,106.0,145.0,29.0
G670,2.96,5.0,17.0,71.01,1.0,1.0,4.0,2.98,9.0,4.0,8.0,10.0,1.0,4.15,3.27,1.0,8.32,1.0,8.06,7.93,9.05,8.17,6.65,2.95
G671,374.0,401.0,344.0,126.0,276.0,265.0,273.0,74.0,100.0,127.0,146.0,133.0,528.0,377.0,693.0,322.0,554.0,266.0,1005.0,171.0,329.0,298.0,542.0,527.0
G2476,615.9,1323.1,2555.0,4703.0,1360.0,1580.0,2258.09,360.0,928.0,11641.0,1200.0,525.0,4328.0,1634.0,2906.0,8839.6,851.5,97809.0,3376.0,13802.0,19970.0,47478.0,24654.85,38492.0
G673,9.47,9.2,2.0,3.37,5.44,4.08,6.92,2.47,4.11,4.0,2.17,8.96,5.82,9.69,7.26,4.85,5.47,7.96,1.29,8.76,4.09,7.46,1.21,5.7
G674,3.16,6.82,3.46,2.0,6.49,1.6,6.44,7.17,2.28,1.0,5.66,1.0,5.3,6.99,2.32,5.46,8.12,6.38,9.81,1.45,4.41,10.0,8.1,5.7
G675,1848.0,974.0,2729.0,202.0,1280.0,741.0,813.0,529.0,340.0,730.0,554.0,664.0,292.0,433.0,1081.0,1334.0,611.0,591.0,475.0,200.0,307.0,505.0,1124.0,437.0
G676,634.0,704.0,702.0,35.0,196.0,559.0,244.0,266.0,596.0,144.0,373.0,280.0,110.0,15.0,1.1,70.0,1.6,29.0,7.0,9.63,27.0,24.0,114.0,37.0
G677,3.0,3.0,2.0,16.0,1.79,107.0,33.0,3.55,4.58,6.86,9.0,2.0,1.91,4.0,4.09,3.72,8.86,53.0,5.0,6.84,1.0,6.96,7.11,6.76
G678,91.0,19.0,19.0,25.0,11.0,18.0,34.0,3.0,17.0,4.0,33.0,29.0,85.0,2.0,32.0,45.0,32.0,6.33,44.0,34.0,37.0,9.5,32.0,3.7
G679,4.0,14.0,3.0,74.0,7.0,8.0,11.0,2.0,24.0,4.0,13.0,8.0,4.01,2.62,8.57,8.98,6.83,5.66,7.99,3.01,5.39,4.79,5.28,5.43
G680,1636.0,2219.82,1345.5,128.0,608.89,359.0,1017.0,585.0,301.0,1142.84,597.99,704.35,2611.0,1354.82,2128.0,1410.92,1692.0,1494.57,3108.59,1925.0,2850.83,1246.96,2173.0,3300.0
G681,489.0,219.0,314.0,60.0,92.0,113.0,238.0,50.0,60.0,87.0,55.0,58.0,355.0,405.0,359.0,237.0,72.0,210.0,433.0,113.0,186.0,235.0,435.0,325.0
G682,576.0,705.0,270.0,68.0,320.0,399.0,255.0,135.0,93.0,305.0,151.0,301.0,497.0,430.0,739.0,266.0,324.0,307.0,500.0,264.0,479.0,246.0,212.0,281.0
G683,10208.0,488.0,3864.0,519.0,4430.0,2369.0,10560.0,284.0,246.0,1242.0,1021.0,1096.0,15031.0,3965.0,20343.0,21314.0,6568.0,14394.0,71097.0,2990.0,4137.0,3193.0,8479.0,10081.99
G684,350.0,326.0,167.0,91.0,90.0,341.0,148.0,119.0,131.0,188.0,198.0,215.0,1529.0,202.0,1042.0,707.0,634.0,308.0,786.0,1184.0,831.0,331.0,588.0,515.0
G685,2.49,22.84,6.0,28.73,49.75,43.16,7.59,0.22,10.08,1.38,3.98,3.07,0.49,0.29,24.06,5.88,8.5,12.01,5.98,5.75,7.0,2.82,8.18,3.28
G686,1.0,3.63,3.39,7.0,6.02,7.79,2.0,6.37,3.68,6.2,3.48,1.0,5.84,2.27,4.78,4.87,3.35,2.47,3.08,7.67,5.15,9.37,5.33,1.33
G687,575.0,637.0,472.0,241.0,234.0,278.0,281.0,49.0,56.0,28.0,41.0,61.0,120.0,311.0,711.0,643.0,158.0,395.0,119.0,366.0,140.0,262.0,1230.0,478.0
G688,530.0,540.0,348.0,65.0,554.0,355.0,405.0,173.0,108.0,350.0,255.0,240.0,186.0,178.0,179.0,323.0,159.0,529.0,203.0,298.0,481.0,149.0,519.0,199.0
G689,98.0,78.0,412.0,167.0,124.0,194.0,106.0,16.0,25.0,20.0,74.0,74.0,34.0,128.0,333.0,363.0,279.0,160.0,130.0,177.0,23.0,209.0,684.0,593.0
G690,201.0,409.43,1594.1,123.43,108.09,393.94,324.68,64.0,96.0,349.0,216.0,203.18,61.0,293.0,683.36,193.0,322.0,192.0,473.0,242.0,296.0,360.0,288.0,769.0
G691,460.0,181.0,274.0,4.72,104.0,41.0,105.0,35.0,18.0,48.0,17.0,15.0,410.0,119.0,46.0,211.0,33.0,52.0,147.0,44.0,162.0,2.97,344.0,43.0
G692,1124.0,1960.0,3136.0,121.0,955.0,495.0,1783.0,314.0,375.0,211.0,452.0,297.0,121.0,147.0,947.0,465.0,185.0,522.0,238.0,223.0,491.0,300.0,289.0,257.0
G693,8.99,3.0,1.0,22.0,2.0,9.81,2.27,1.64,3.0,8.85,8.44,1.0,6.67,2.91,3.23,4.58,1.09,9.29,1.06,4.59,5.7,7.05,7.64,3.34
G694,1.0,19.0,3.0,24.0,13.0,30.0,31.0,9.0,38.0,11.0,41.0,52.0,1.61,8.38,6.93,3.43,7.9,5.72,4.01,5.56,2.14,3.51,67.0,3.64
G695,51.0,20.0,22.0,16.0,37.0,153.0,18.0,15.0,8.0,30.0,555.0,6.0,3.0,177.0,48.0,6.0,4.0,65.0,1.0,9.21,522.0,272.0,119.0,98.0
G696,29.0,177.0,75.0,325.0,57.0,291.0,108.0,18.0,115.0,23.0,67.0,50.0,11.0,56.0,48.0,99.0,154.0,134.0,49.0,163.0,34.0,7.0,94.0,84.0
G697,201.0,136.0,132.0,40.0,240.0,142.0,496.0,61.0,212.0,147.0,200.0,278.0,107.0,14.0,90.0,66.0,2.0,26.0,7.66,1.8,11.0,4.57,279.0,4.39
G698,10680.0,27208.0,11034.0,3575.0,72766.0,32590.0,140172.0,60906.0,305433.0,300762.0,134653.0,407362.0,678.0,20.0,7296.0,47.0,35.0,27.0,7.35,3.74,3.0,87.0,10854.0,4.92
G699,244.0,414.0,187.0,38.0,156.0,494.0,172.0,137.0,92.0,260.0,149.0,165.0,797.0,2110.0,1110.0,819.0,607.0,723.0,1046.0,1186.0,1422.0,2203.0,2305.0,2211.0
G700,1.0,1.62,14.0,1.0,6.71,1.0,1.69,1.0,6.48,5.48,2.0,1.0,6.1,4.52,2.0,2.8,6.69,1.62,3.72,2.87,6.65,4.23,2.1,8.67
G701,1734.0,2488.0,521.0,141.0,421.0,484.0,597.0,980.0,405.0,1616.0,1078.0,1349.0,1069.0,1229.0,1382.0,2015.0,438.0,596.0,286.0,576.0,678.0,585.0,1392.0,599.0
G702,396.0,598.0,406.0,83.0,350.0,689.0,378.0,125.0,145.0,162.0,141.0,149.0,350.0,360.0,412.0,344.0,755.0,259.0,332.0,583.0,912.0,405.0,806.0,629.0
G703,13.0,230.0,22.0,61.0,14.0,17.0,58.0,78.0,237.0,104.0,190.0,351.0,7.6,4.35,7.61,3.79,4.88,1.44,5.39,8.39,2.08,1.6,33.0,8.58
G704,275.0,822.41,256.0,184.0,372.0,602.38,279.0,271.0,207.0,218.0,335.0,270.0,497.0,437.0,858.0,474.0,497.0,557.0,122.0,337.0,1376.0,518.0,889.0,657.0
G705,253.0,1249.0,277.0,22.0,969.0,1714.0,388.0,340.0,149.0,1277.0,636.0,870.0,521.0,1063.0,455.0,172.0,441.0,1672.0,351.0,675.0,4698.0,2861.0,2001.0,1543.0
G706,5.65,1.12,7.12,2.27,5.5,7.47,5.65,6.82,1.03,3.65,9.11,4.31,8.85,3.0,5.28,2.49,7.19,2.46,7.8,1.24,3.08,4.21,3.65,1.24
G707,2.0,1.0,6.18,3.71,7.59,6.03,7.71,3.4,1.53,3.62,8.73,8.47,9.73,2.07,4.74,1.7,1.42,5.73,1.24,3.76,7.87,3.23,8.42,4.8
G708,812.9,1532.22,1054.29,210.54,670.41,1126.4,450.6,258.62,326.14,363.51,478.38,659.56,1346.86,2701.96,3580.0,1918.61,3004.0,2752.33,2096.93,3046.0,3925.94,3197.74,3450.45,3766.92
G709,16.0,74.0,32.0,28.0,201.0,115.0,245.0,33.0,90.0,32.0,125.0,240.0,5.0,145.0,1231.0,74.0,38.0,37.0,1.0,17.0,2.0,4.39,418.0,40.0
G710,288.0,820.0,718.0,328.0,126.0,680.0,456.0,110.0,297.0,149.0,539.0,346.0,268.0,622.0,1259.0,523.0,52.0,369.0,344.0,154.0,27.0,235.0,1241.0,103.0
G711,972.0,596.0,506.0,198.0,283.0,626.0,406.0,169.0,210.0,252.0,362.0,263.0,769.0,1107.0,886.0,689.0,443.0,722.0,782.0,789.0,1112.0,1670.0,1465.0,973.0
G712,853.0,1199.0,562.67,205.0,495.0,840.0,558.54,180.0,205.0,276.0,242.0,322.0,548.0,1009.0,1094.0,593.0,701.0,384.83,418.0,1330.0,1781.0,1001.0,1258.0,982.81
G713,1715.91,4638.64,3182.1,832.1,2293.53,3200.34,1423.69,8634.85,1116.57,16867.46,6640.13,6356.46,17763.48,8501.2,4704.22,2993.1,5854.01,5372.1,2862.37,56982.74,30883.77,13104.22,45140.6,39868.14
G714,152.0,1425.0,542.0,553.0,877.0,934.0,2904.0,63.0,230.0,115.0,190.0,417.0,1.0,9.01,8.58,4.39,9.1,2.65,9.94,1.0,9.65,9.0,2711.0,1.25
G715,9.59,3.0,10.0,7.0,4.0,6.45,34.0,8.59,9.57,2.26,5.49,4.55,5.0,1.49,5.13,1.0,7.71,2.24,9.17,9.61,2.21,3.12,92.0,1.6
G716,3434.0,8146.0,6071.0,2110.0,7699.0,13070.0,8128.0,10605.0,5277.0,6354.0,5651.0,5193.0,8031.0,7195.0,14105.0,28145.0,10146.0,25333.0,12558.0,32035.0,44585.0,13413.0,25611.0,27218.0
G717,143.0,123.0,430.0,17.0,80.0,64.0,43.0,31.0,12.0,61.0,51.0,64.0,292.0,66.0,169.0,73.0,129.0,63.0,63.0,33.0,44.0,34.0,47.0,108.0
G718,113.0,27.0,108.0,89.0,128.0,224.97,50.0,90.0,75.0,80.0,211.0,143.0,109.0,193.0,310.0,554.0,119.0,111.0,440.0,132.0,252.0,137.0,211.0,184.0
G719,146.0,212.0,222.0,26.0,243.0,327.0,424.0,216.0,307.0,60.0,41.0,69.0,9.0,8.0,8.96,2.75,1.03,7.26,4.92,4.5,4.02,4.23,2.88,4.42
G720,288.83,266.85,413.79,133.76,342.13,303.07,247.23,61.59,47.87,69.13,85.53,103.29,20.0,57.45,162.0,89.41,14.0,321.2,20.0,11.28,98.68,28.17,216.13,180.12
G721,1129.0,2515.0,1937.0,557.0,1199.0,3657.0,2597.0,544.0,377.0,413.0,452.0,522.0,1611.0,2013.0,3765.0,7276.0,1725.0,5681.0,4681.0,6784.0,1763.0,1778.0,5513.0,4920.0
G722,827.0,604.0,628.0,175.0,162.0,291.0,339.0,147.0,78.0,97.0,136.0,166.0,418.0,292.0,683.0,414.0,186.0,333.0,288.0,1831.0,277.0,728.0,976.0,886.0
G723,19.0,157.0,82.0,61.0,20.0,52.0,44.0,51.0,54.0,20.0,53.0,30.0,29.0,129.0,126.0,99.0,17.0,19.0,50.0,137.0,54.0,21.0,44.0,42.0
G724,13.0,12.0,120.0,56.0,42.0,54.0,53.0,127.0,124.0,923.0,104.0,209.0,57.0,11.0,361.0,57.0,18.0,34.0,63.0,53.0,267.0,109.0,1096.0,70.0
G725,91.0,106.0,179.0,10.0,81.0,171.0,35.0,111.0,82.0,123.0,312.0,295.0,30.0,64.0,533.0,45.0,283.0,34.0,62.0,417.0,133.0,790.0,618.0,325.0
G726,768.0,1549.0,949.0,577.0,889.0,1191.0,1447.0,179.0,335.0,148.0,160.0,225.0,137.0,1131.0,1585.0,526.0,502.0,755.0,330.0,1381.0,130.0,1007.0,1311.0,1690.0
G727,11.0,18.0,18.0,30.0,4.0,15.0,14.0,12.0,13.0,3.0,7.0,3.0,3.0,6.49,7.07,5.65,7.68,4.25,6.93,7.47,8.0,5.0,2.48,3.03
G728,24.0,1722.0,88.0,91.0,1002.0,198.0,177.0,105.0,63.0,93.0,56.0,166.0,3.09,118.0,47.0,47.0,136.0,259.0,255.0,147.0,139.0,110.0,4.0,672.0
G729,67.0,253.0,357.0,53.0,140.0,128.0,180.0,28.0,24.0,43.0,31.0,38.0,47.0,289.0,279.0,486.0,119.0,530.0,434.0,291.0,172.0,266.0,292.0,460.0
G730,1388.0,1718.0,544.0,944.0,1587.0,1629.0,1244.0,1566.0,703.0,4089.0,2971.0,2327.0,582.0,841.0,2970.0,940.0,2750.0,1069.0,864.0,7066.99,2264.0,2014.0,4806.0,2333.0
G731,6.0,4.0,15.0,11.0,7.0,4.0,4.0,2.0,8.0,4.0,7.0,10.0,1.0,7.36,3.91,9.18,2.41,7.48,5.33,4.18,5.02,2.73,17.0,8.47
G732,1.48,9.43,1.0,1.0,7.31,1.0,1.0,3.0,2.0,10.0,7.52,2.0,21.0,6.11,3.1,8.36,2.26,7.92,51.0,4.14,7.46,8.29,2.0,7.71
G733,7.0,8.0,22.0,3.0,2.0,6.0,62.0,4.0,10.0,161.0,5.0,17.0,535.0,20.0,1.43,46.0,48.0,867.0,146.0,110.0,2544.0,2230.0,936.0,1229.0
G734,33.0,28.0,30.0,3.0,18.0,67.0,6.0,2.0,2.0,1.0,2.0,2.0,3.0,2.29,11.0,25.0,6.0,2.0,17.0,21.0,5.0,27.0,38.0,3.0
G735,259.2,201.9,299.86,175.35,572.7,436.82,568.93,66.0,23.0,68.0,49.94,80.96,84.0,147.0,538.0,401.0,199.0,329.0,421.0,262.0,44.0,304.0,143.0,594.0
G736,607.0,209.0,475.0,133.0,309.0,157.0,585.0,27.0,38.0,14.0,42.0,59.0,158.0,26.0,775.0,666.0,46.0,308.0,216.0,151.0,7.0,7.55,922.0,384.0
G737,2.0,4.0,10.0,2.0,2.0,7.33,3.0,5.02,3.36,6.3,4.82,1.0,8.12,5.88,9.19,1.0,1.83,2.74,7.84,1.74,5.53,8.09,25.0,6.4
G738,3.24,9.9,1.17,8.57,3.81,5.64,2.14,1.95,1.23,5.41,1.48,2.96,5.1,2.3,1.65,3.91,8.58,2.52,7.08,5.54,3.74,4.2,3.19,2.61
G739,3.44,8.98,3.0,8.0,5.05,4.0,5.0,3.92,4.84,3.18,9.95,1.75,9.89,1.29,3.89,5.81,1.6,9.09,6.96,2.75,4.42,6.57,9.22,9.55
G740,208.04,358.66,246.24,126.1,153.76,232.84,337.62,28.99,14.42,30.52,46.33,54.41,59.49,159.91,328.57,139.71,213.07,368.39,328.01,126.8,76.76,99.23,821.2,546.0
G741,1.42,2.0,14.0,25.0,2.55,1.0,7.71,8.99,2.0,3.94,9.0,11.0,4.46,2.49,5.95,2.59,7.84,17.0,3.35,6.57,1.95,5.04,26.0,6.45
G742,3363.0,6025.0,10265.0,1113.0,29701.0,21807.0,35572.0,13165.0,45568.0,36573.0,22588.0,58057.0,203.0,889.0,7333.0,14.0,533.0,87.0,101.0,120.0,171.0,640.0,72306.0,926.0
G743,501.0,1402.0,1803.0,351.0,580.0,3040.0,977.0,3165.0,2764.0,671.0,667.0,666.0,773.0,893.0,1147.0,570.0,481.0,2052.0,253.0,1695.0,1587.0,1601.0,2720.0,1605.0
G744,460.0,637.0,2059.0,118.0,210.0,539.0,398.0,156.0,308.0,175.0,284.0,383.0,1595.0,758.0,1497.0,887.0,359.0,505.0,378.0,539.0,1265.0,314.0,841.0,304.0
G745,15416.0,979.0,3543.0,1093.0,1687.0,1208.0,1692.0,205.0,1487.0,178.0,5733.0,1019.0,411.0,334.0,2695.0,519.0,14.0,2570.0,141.0,1.0,258.0,79.0,47415.0,1.0
G746,59.0,3.0,72.0,6.6,13.0,4.0,4.0,5.0,9.7,3.0,2.0,2.0,7.0,9.28,3.0,7.54,3.0,3.0,4.29,5.28,6.0,1.63,5.81,4.95
G747,20.0,204.0,74.0,94.0,49.0,91.0,98.0,23.0,52.0,22.0,46.0,76.0,15.0,28.0,17.0,1.0,76.0,16.0,10.0,63.0,36.0,110.0,14.0,60.0
G748,438.0,476.0,294.0,80.0,203.0,461.0,278.0,84.0,106.0,117.0,156.0,163.0,507.0,194.0,552.0,185.0,429.0,394.0,357.0,108.0,794.0,338.0,383.0,443.0
G749,3.0,4.58,1.0,6.0,3.97,3.66,3.0,8.74,5.58,2.0,8.84,1.52,2.0,5.35,9.91,9.02,2.0,9.02,96.0,7.49,8.23,9.54,5.19,1.88
G750,2.0,2.57,89.0,9.69,2.0,8.66,4.8,1.37,9.44,1.09,25.0,8.33,3.0,3.38,498.0,9.18,2.0,1.71,1.0,7.3,5.64,1.53,5.94,5.33
G751,222.0,143.0,303.0,324.0,132.0,252.0,207.0,72.0,262.0,403.0,342.0,235.0,65.0,13.0,653.0,161.0,81.0,142.0,123.0,7.87,26.0,71.0,327.0,4.9
G752,7.0,5.16,35.0,9.55,9.64,1.72,8.83,5.85,4.41,9.53,7.91,8.43,3.0,6.26,3.14,1.55,4.54,1.5,15.0,8.3,1.5,5.46,2.0,2.26
G753,29.0,15.0,24.0,7.0,9.0,33.0,17.0,8.0,25.0,16.0,19.0,10.0,11.0,6.72,11.0,8.57,1.0,7.0,3.21,8.63,9.6,9.54,4.0,5.84
G754,1.0,7.0,4.0,2.0,2.0,4.11,6.0,2.73,11.0,6.0,9.0,1.0,9.82,9.18,8.66,2.34,3.49,2.86,8.25,3.39,3.44,11.0,5.34,6.32
G755,161.0,1552.0,982.0,1254.0,1721.0,326.0,1253.0,366.0,116.0,516.0,309.0,1562.0,72.0,870.0,4007.0,1289.0,1357.0,3650.0,401.0,5661.0,436.0,282.0,827.0,1994.0
G756,2.0,12.0,5.0,71.0,98.0,82.0,4.0,5.0,2.0,3.0,13.0,9.0,8.59,9.0,6.45,1.0,11.0,1.0,1.0,2.62,2.15,45.0,2.0,34.0
G757,7.0,6.0,13.0,6.75,39.0,65.0,16.0,4.0,6.93,2.0,6.64,3.0,7.0,1.42,133.0,51.0,1.31,8.48,1.39,2.81,5.41,9.27,4.64,7.35
G758,2320.0,2504.0,3444.0,767.0,2321.0,6037.0,1840.0,1012.0,2123.0,521.0,1609.0,1084.0,1224.0,907.0,2816.0,1115.0,1083.0,2127.0,1677.0,591.0,355.0,1337.0,1847.0,2020.0
G759,508.0,139.0,750.0,232.0,99.0,123.0,152.0,22.0,51.0,15.0,60.0,42.0,572.0,325.0,150.0,185.0,335.0,241.0,229.0,165.0,92.0,57.0,536.0,154.0
G760,721.09,623.2,635.42,242.02,317.19,491.48,468.82,261.66,206.97,337.38,361.85,344.48,1192.94,605.78,751.64,1031.91,1105.07,885.61,1113.42,1197.74,1530.68,768.86,1724.59,1048.95
G761,4.5,2.0,1.0,29.0,4.0,50.0,85.0,8.31,9.07,4.22,5.0,4.0,2.0,1.0,8.49,4.43,9.58,48.0,158.0,5.34,6.09,8.08,3.95,3.89
G762,422.0,91.0,2104.0,36.0,1676.0,1755.0,2887.0,157.0,234.0,224.0,295.0,708.0,140.0,1054.0,4073.0,865.0,1388.0,1036.0,3855.0,1561.0,950.0,710.0,2381.0,3447.0
G763,105.0,931.0,391.0,100.0,131.0,2586.0,204.0,103.0,71.0,136.0,24.0,129.0,38.0,291.0,135.0,222.0,175.0,928.0,90.0,390.0,338.0,341.0,150.0,385.0
G764,753.0,355.0,334.0,91.0,145.0,485.0,379.0,74.0,205.0,105.0,188.0,180.0,700.0,247.0,724.0,590.0,329.0,374.0,324.0,194.0,867.0,274.0,430.0,513.0
G765,561.0,484.0,496.0,92.0,295.0,321.0,252.0,127.0,172.0,292.0,215.0,296.0,554.0,524.0,484.0,639.0,533.0,367.0,110.0,486.0,805.0,354.0,784.0,182.0
G766,9.97,1.0,1.0,7.51,2.93,6.43,5.85,5.72,1.0,6.26,2.47,8.09,1.56,3.0,9.96,4.65,6.1,2.41,1.2,3.96,3.0,9.25,4.12,2.0
G767,303.0,397.0,211.0,567.0,157.0,451.0,349.0,43.0,152.0,99.0,132.0,121.0,15.0,28.0,496.0,62.0,253.0,450.0,442.0,62.0,402.0,175.0,639.0,410.0
G768,12.0,41.0,50.0,15.0,29.0,17.0,29.0,3.0,5.0,6.0,8.0,10.0,5.0,19.0,5.0,6.0,17.0,8.0,87.0,39.0,8.0,61.0,83.0,90.0
G769,6370.72,5908.81,4798.1,701.64,2358.67,3107.32,3106.31,6148.87,2286.8,9078.06,6153.34,6313.55,10194.29,3591.17,3960.63,4687.24,6090.0,10494.75,5123.04,18478.44,15571.22,4119.77,20808.69,20758.18
G770,991.28,1169.7,708.92,380.73,568.53,1013.84,751.08,405.93,424.0,462.0,674.26,886.0,2287.42,830.57,3346.04,1479.0,1665.0,2235.8,1973.0,1423.0,2322.16,1018.95,2452.51,2478.0
G771,859.44,555.12,473.9,105.0,260.44,394.0,255.62,133.83,117.11,150.68,143.14,171.94,513.84,691.66,274.88,430.24,495.29,459.81,559.26,694.49,1068.47,440.46,920.55,369.77
G772,285.0,2341.86,815.9,353.0,822.91,4253.93,3315.96,6008.97,1012.0,2893.0,984.0,1522.0,321.0,2571.0,6755.97,1925.78,979.0,2933.69,4310.86,3169.99,7713.99,1095.0,1462.0,2384.0
G773,2129.95,5643.07,2721.01,499.0,1083.64,1989.45,2432.0,2623.0,1291.0,2094.0,2023.0,3263.0,3142.52,4575.28,4918.0,3002.0,1289.0,3492.0,5762.0,4332.0,9994.0,1376.0,4533.0,9909.58
